date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-12,17:27:00,NINTEN,Stantler,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.86,40,0h0m40s,0,0,0,5,0:02,7.144,TACKLE,,,,0,71,7,1,1,3,3,2,0,3000,Jolteon, ,Normal,Normal,253,Stantler3,Stantler,Rival (Lab),00:00:33.72,00:00:40.86,00:02:08.00,5,0,0,0,40,86,TACKLE,,,,32,0,0,0,0,0,0,0,13,23,16,12,15,15,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,12,15,15,15,9667,4714,2938,0,2015,0,0,0,71,71,0,0,7,2,1,1,0,0,27,21,10,10,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
11-12,17:28:24,NINTEN,Stantler,Bug Catcher,1,Viridian Forest,2,2:05.35,2:05,0h2m5s,0,0,0,6,0:07,14.493,TACKLE,,,,0,523,42,2,2,10,10,8,4,75,Flareon, ,Normal,Normal,411,Stantler3,Stantler,,00:01:50.86,00:02:05.35,00:07:41.49,6,0,0,2,5,35,TACKLE,,,,28,0,0,0,0,0,0,0,20,26,18,14,17,17,17,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-1,0,0,18,14,17,17,11,29696,19940,7741,0,2015,0,0,0,523,523,0,0,42,4,2,2,0,0,85,69,16,16,10,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,3,0,Flareon
11-12,17:28:48,NINTEN,Stantler,Bug Catcher,2,Viridian Forest,3,2:29.10,2:29,0h2m29s,0,0,0,8,0:09,19.869,TACKLE,LEER,,,0,537,42,3,2,19,19,14,4,145,Flareon, ,Normal,Normal,660,Stantler3,Stantler,,00:02:09.23,00:02:29.10,00:09:15.44,8,0,0,2,29,10,TACKLE,LEER,,,19,30,0,0,0,0,0,0,24,32,22,17,21,21,21,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-1,0,0,22,17,21,21,13,35331,20429,12887,0,2015,0,0,0,537,537,0,0,42,5,3,2,0,0,166,135,18,18,19,3,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,3,0,Flareon
11-12,17:29:10,NINTEN,Stantler,Lass,19,Viridian Forest,2,2:51.13,2:51,0h2m51s,0,0,0,8,0:10,10.484,TACKLE,LEER,,,0,589,44,4,3,26,26,18,4,205,Flareon, ,Normal,Normal,858,Stantler3,Stantler,,00:02:40.64,00:02:51.13,00:10:42.40,8,0,0,2,51,13,TACKLE,LEER,,,12,30,0,0,0,0,0,0,16,32,22,17,21,21,21,431,334,397,290,290,397,15,15,15,15,0,-1,0,0,0,0,0,22,11,21,21,21,40547,21429,17103,0,2015,0,0,0,589,589,0,0,44,7,4,3,0,0,263,201,26,26,26,4,10,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,702,0,0,0,0,0,13,0,0,0,1,0,3,0,Flareon
11-12,17:30:03,NINTEN,Stantler,Rival1a-Route 22,2,Route 22,2,3:44.16,3:44,0h3m44s,0,0,0,9,0:14,10.811,TACKLE,LEER,,,0,818,54,5,5,35,35,24,3,295,Flareon, ,Normal,Normal,1181,Stantler3,Stantler,Rival (Optional),00:03:33.35,00:03:44.16,00:14:12.02,9,0,0,3,44,16,TACKLE,LEER,,,30,30,0,0,0,0,0,0,27,35,25,19,23,23,23,566,494,517,421,421,578,15,15,15,15,0,-1,0,0,0,0,0,25,12,23,23,23,53109,27180,23914,0,2015,0,0,0,818,818,0,0,54,10,5,5,0,0,380,294,48,48,35,5,15,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1025,0,0,0,0,0,13,0,1,1,1,0,3,0,Flareon
11-12,17:30:36,NINTEN,Stantler,Bug Catcher,15,Viridian Forest,2,4:17.49,4:17,0h4m17s,0,0,0,10,0:16,13.205,TACKLE,LEER,,,0,1010,61,6,5,41,41,28,3,575,Jolteon, ,Normal,Normal,1394,Stantler3,Stantler,,00:04:04.28,00:04:17.49,00:16:23.59,10,0,0,4,17,49,TACKLE,LEER,,,24,30,0,0,0,0,0,0,27,38,27,21,25,25,25,661,544,607,466,466,653,15,15,15,15,0,0,0,0,-2,0,0,27,21,25,25,12,61026,31548,27463,0,2015,0,0,0,1010,1010,0,0,61,11,6,5,0,0,455,347,51,51,41,5,18,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1238,0,0,0,0,1,13,0,1,1,1,0,3,0,Jolteon
11-12,17:30:49,NINTEN,Stantler,Bug Catcher,3,Viridian Forest,1,4:30.12,4:30,0h4m30s,0,0,0,10,0:17,7.094,TACKLE,LEER,,,0,1058,63,7,5,44,44,30,3,655,Jolteon, ,Normal,Normal,1506,Stantler3,Stantler,,00:04:23.03,00:04:30.12,00:17:13.57,10,0,0,4,30,12,TACKLE,LEER,,,21,30,0,0,0,0,0,0,24,38,27,21,25,25,25,706,574,642,486,486,698,15,15,15,15,0,0,0,0,-1,0,0,27,21,25,25,16,64024,32452,29557,0,2015,0,0,0,1058,1058,0,0,63,12,7,5,0,0,497,377,54,54,44,5,20,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1350,0,0,0,0,1,13,0,1,1,1,0,3,0,Jolteon
11-12,17:32:34,NINTEN,Stantler,Jr Trainer M,1,Pewter City - Gym,2,6:15.37,6:15,0h6m15s,0,0,0,12,0:24,12.826,TACKLE,LEER,,,0,1282,71,8,19,68,68,38,3,755,Jolteon, ,Normal,Normal,2326,Stantler3,Stantler,,00:06:02.55,00:06:15.37,00:24:07.18,12,0,0,6,15,37,TACKLE,LEER,,,29,30,0,0,0,0,0,0,25,44,32,24,29,29,30,1357,1411,1347,1031,1031,1616,15,15,15,15,0,0,0,0,0,0,0,32,24,29,29,30,88825,38250,48560,0,2015,0,0,0,1282,1282,0,0,71,27,8,19,0,0,955,680,82,82,66,8,27,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2170,0,0,0,0,1,13,0,1,1,1,0,3,0,Jolteon
11-12,17:33:10,NINTEN,Stantler,Brock,1,Pewter City - Gym,2,6:51.10,6:51,0h6m51s,0,0,0,13,0:26,29.58,TACKLE,LEER,,,0,1286,71,9,19,86,86,47,3,935,Jolteon, ,Normal,Normal,2786,Stantler3,Stantler,Brock,00:06:21.52,00:06:51.10,00:26:28.52,13,0,0,6,51,10,TACKLE,LEER,,,21,20,0,0,0,0,0,0,31,47,34,26,32,32,32,1432,1536,1607,1091,1091,1706,15,15,15,15,0,0,0,0,0,0,0,34,26,32,32,32,97319,38795,56165,344,2015,0,0,0,1286,1286,0,0,71,28,9,19,0,0,1018,741,98,98,84,13,31,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2630,0,0,0,0,1,13,0,1,1,1,0,3,0,Jolteon
11-12,17:33:35,NINTEN,Stantler,Bug Catcher,4,Route 3,3,7:15.91,7:15,0h7m15s,0,0,0,13,0:28,11.852,TACKLE,LEER,,,0,1357,71,10,19,91,91,49,4,2123,Jolteon, ,Normal,Normal,3121,Stantler3,Stantler,,00:07:04.06,00:07:15.91,00:28:06.57,13,0,0,7,15,91,TACKLE,LEER,,,16,20,0,0,0,0,0,0,29,47,34,26,32,32,32,1562,1631,1707,1151,1151,1846,15,15,15,15,0,0,0,0,-1,0,0,42,26,32,32,21,103204,40866,59979,344,2015,0,0,0,1357,1357,0,0,71,29,10,19,0,0,1141,830,100,100,89,13,33,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2965,0,0,0,0,1,13,0,1,1,1,0,3,0,Jolteon
