ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Starmie11,Starmie,Rival (Lab),00:00:33.97,00:00:41.81,00:02:11.34,5,0,0,0,41,81,WATER GUN,TACKLE,HARDEN,,14,15,16,16,18,0,-1,0,0,0,0,0,14,9,16,16,18,9890,4766,3100,0,2024,0,0,0,71,71,0,0,3,2,1,1,0,0,27,21,5,5,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,11,0,Jolteon
Starmie11,Starmie,Rival (Optional),00:01:33.39,00:01:52.70,00:06:51.39,7,0,0,1,52,70,WATER GUN,TACKLE,HARDEN,,17,19,21,21,23,-2,-2,0,0,0,-1,0,8,9,21,21,23,26695,15717,8954,0,2024,0,0,0,428,428,0,0,15,4,2,2,1,0,92,76,26,26,12,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,365,0,0,0,0,0,0,0,0,0,0,0,11,0,Flareon
Starmie11,Starmie,Brock,00:03:23.79,00:03:31.45,00:13:21.38,10,0,0,3,31,45,WATER GUN,TACKLE,HARDEN,,23,25,28,28,31,0,0,0,0,0,0,0,23,25,28,28,31,50094,28193,19387,490,2024,0,0,0,834,834,0,0,35,9,5,4,1,0,304,238,39,39,21,1,13,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1271,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
Starmie11,Starmie,Rival (Nugget Bridge),00:06:42.51,00:07:05.68,00:27:27.42,16,0,0,7,5,68,WATER GUN,TACKLE,HARDEN,,35,38,43,43,48,-1,-1,0,0,0,-1,0,28,25,43,43,48,100858,47615,49976,1243,2024,0,0,0,1533,1533,0,0,74,17,13,4,1,0,1427,984,126,126,64,6,34,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5582,0,0,0,0,3,13,0,1,1,0,0,11,0,Jolteon
Starmie11,Starmie,Misty,00:09:26.76,00:10:01.23,00:39:01.12,19,0,0,10,1,23,WATER GUN,TACKLE,HARDEN,THUNDER WAVE,41,45,50,50,56,0,6,0,0,0,0,0,51,180,50,50,56,142468,55467,81598,3379,2024,0,0,0,1682,1682,0,0,104,25,21,4,1,0,2180,1603,229,229,107,13,62,0,0,0,0,0,23,0,4,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,22,5,0,0,0,45,9591,0,0,0,0,4,13,0,1,1,1,0,11,0,Jolteon
Starmie11,Starmie,Oddish Lass,00:11:01.23,00:11:15.23,00:43:53.19,21,0,0,11,15,23,BUBBLEBEAM,TACKLE,HARDEN,THUNDER WAVE,45,49,55,55,62,0,0,0,0,0,0,0,50,49,55,55,62,159995,61668,91708,4595,2024,0,0,0,1866,1866,0,0,117,29,25,4,1,0,3009,1959,255,255,118,13,65,0,0,0,0,0,29,0,6,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,22,5,0,0,0,54,11472,0,0,0,0,5,13,0,1,1,2,0,11,0,Jolteon
Starmie11,Starmie,Rocket,00:11:40.03,00:11:47.53,00:46:00.51,21,0,0,11,47,53,BUBBLEBEAM,TACKLE,HARDEN,THUNDER WAVE,45,49,55,55,62,0,0,0,0,0,0,0,50,49,55,55,62,167647,67075,93953,4595,2024,0,0,0,2005,2005,0,0,126,30,26,4,1,0,3119,2062,259,259,121,13,66,0,0,0,0,0,29,0,6,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,22,5,0,0,0,56,12161,0,0,0,0,6,13,0,1,1,2,0,11,0,Jolteon
Starmie11,Starmie,Rival (SS Anne),00:13:34.60,00:13:47.78,00:53:54.12,23,0,0,13,47,78,BUBBLEBEAM,TACKLE,HARDEN,THUNDER WAVE,49,54,60,60,68,-1,0,0,0,0,0,0,36,54,60,60,68,196048,79116,107759,7149,2024,1,0,0,2415,2415,0,0,153,35,31,4,1,0,4205,2640,277,277,139,13,70,0,0,0,0,0,36,0,8,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,24,7,0,0,0,69,16195,0,0,0,0,11,16,0,1,1,2,0,11,0,Jolteon
Starmie11,Starmie,Lt. Surge,00:14:41.11,00:14:48.57,00:57:54.27,23,0,0,14,48,57,BUBBLEBEAM,REST,HARDEN,THUNDER WAVE,49,54,60,60,68,0,0,0,0,0,0,0,55,54,60,60,68,210463,85795,110081,12563,2024,2,0,0,2592,2592,0,0,161,36,32,4,1,0,4302,2716,341,341,142,13,72,0,0,0,0,0,38,0,9,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,24,7,0,0,0,70,16927,0,0,0,0,11,16,0,1,1,5,0,11,0,Jolteon
Starmie11,Starmie,RTG1 - Wrapping Lass,00:15:37.23,00:16:28.80,01:04:30.50,24,0,0,16,28,80,BUBBLEBEAM,REST,HARDEN,THUNDER WAVE,51,56,63,63,71,0,0,0,0,0,0,0,57,63,63,63,1,234246,93957,122980,15285,2024,3,0,0,2785,2729,56,0,188,37,33,4,1,0,4543,2926,435,435,156,13,84,0,0,0,0,0,40,0,9,0,0,2,5,1,0,0,0,0,0,2,0,0,0,0,2,2,7,1,0,0,39,8,0,0,0,74,18175,0,0,0,0,11,16,0,1,1,5,0,11,0,Jolteon
