date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-06,15:35:07,NINTEN,Starmie,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.81,41,0h0m41s,0,0,0,5,0:02,7.832,WATER GUN,TACKLE,HARDEN,,0,71,3,1,1,3,3,2,0,3000,Jolteon, ,Water,Psychic,253,Starmie11,Starmie,Rival (Lab),00:00:33.97,00:00:41.81,00:02:11.34,5,0,0,0,41,81,WATER GUN,TACKLE,HARDEN,,22,35,30,0,0,0,0,0,17,22,14,15,16,16,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,9,16,16,18,9890,4766,3100,0,2024,0,0,0,71,71,0,0,3,2,1,1,0,0,27,21,5,5,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,11,0,Jolteon
8-06,15:36:18,NINTEN,Starmie,Rival1a-Route 22,2,Route 22,2,1:52.70,1:52,0h1m52s,0,0,0,7,0:06,19.315,WATER GUN,TACKLE,HARDEN,,0,428,15,2,2,12,12,10,0,3175,Flareon, ,Water,Psychic,521,Starmie11,Starmie,Rival (Optional),00:01:33.39,00:01:52.70,00:06:51.39,7,0,0,1,52,70,WATER GUN,TACKLE,HARDEN,,16,35,30,0,0,0,0,0,6,27,17,19,21,21,23,150,170,130,161,161,180,15,15,15,15,-2,-2,0,0,0,-1,0,8,9,21,21,23,26695,15717,8954,0,2024,0,0,0,428,428,0,0,15,4,2,2,1,0,92,76,26,26,12,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,365,0,0,0,0,0,0,0,0,0,0,0,11,0,Flareon
8-06,15:37:18,NINTEN,Starmie,Bug Catcher,3,Viridian Forest,1,2:53.31,2:53,0h2m53s,0,0,0,7,0:10,7.912,WATER GUN,TACKLE,HARDEN,,0,714,34,3,4,16,16,13,3,355,Jolteon, ,Water,Psychic,633,Starmie11,Starmie,,00:02:45.40,00:02:53.31,00:10:51.15,7,0,0,2,53,31,WATER GUN,TACKLE,HARDEN,,13,34,30,0,0,0,0,0,20,27,17,19,21,21,23,195,200,165,181,181,225,15,15,15,15,0,0,0,0,0,0,0,17,19,21,21,23,41071,24394,14163,490,2024,0,0,0,714,714,0,0,34,7,3,4,1,0,145,126,32,32,16,1,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,477,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:37:45,NINTEN,Starmie,Jr Trainer M,1,Pewter City - Gym,2,3:19.62,3:19,0h3m19s,0,0,0,9,0:12,9.957,WATER GUN,TACKLE,HARDEN,,0,830,35,4,4,19,19,14,3,455,Jolteon, ,Water,Psychic,967,Starmie11,Starmie,,00:03:09.66,00:03:19.62,00:12:34.57,9,0,0,3,19,62,WATER GUN,TACKLE,HARDEN,,22,35,30,0,0,0,0,0,25,32,21,23,26,26,28,255,330,275,256,256,360,15,15,15,15,0,0,0,0,0,0,0,21,23,26,26,28,47293,27731,17048,490,2024,0,0,0,830,830,0,0,35,8,4,4,1,0,206,177,39,39,19,1,13,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,811,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:37:57,NINTEN,Starmie,Brock,1,Pewter City - Gym,2,3:31.45,3:31,0h3m31s,0,0,0,10,0:13,7.661,WATER GUN,TACKLE,HARDEN,,0,834,35,5,4,21,21,14,3,635,Jolteon, ,Water,Psychic,1427,Starmie11,Starmie,Brock,00:03:23.79,00:03:31.45,00:13:21.38,10,0,0,3,31,45,WATER GUN,TACKLE,HARDEN,,20,35,30,0,0,0,0,0,28,35,23,25,28,28,31,330,455,535,316,316,450,15,15,15,15,0,0,0,0,0,0,0,23,25,28,28,31,50094,28193,19387,490,2024,0,0,0,834,834,0,0,35,9,5,4,1,0,304,238,39,39,21,1,13,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1271,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:38:24,NINTEN,Starmie,Bug Catcher,4,Route 3,3,3:58.67,3:58,0h3m58s,0,0,0,11,0:15,14.243,WATER GUN,TACKLE,HARDEN,,0,905,36,6,4,27,27,17,4,1823,Jolteon, ,Water,Psychic,1762,Starmie11,Starmie,,00:03:44.43,00:03:58.67,00:15:09.13,11,0,0,3,58,67,WATER GUN,TACKLE,HARDEN,,14,35,30,0,0,0,0,0,26,38,25,27,30,30,34,460,550,635,376,376,590,15,15,15,15,0,0,0,0,-1,0,0,28,27,30,30,22,56549,30268,23767,490,2024,0,0,0,905,905,0,0,36,10,6,4,1,0,436,327,44,44,27,1,16,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1606,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:38:37,NINTEN,Starmie,Youngster Ben,1,Route 3,2,4:11.98,4:11,0h4m11s,0,0,0,11,0:16,10.051,WATER GUN,TACKLE,HARDEN,,0,909,36,7,4,31,31,20,4,1923,Jolteon, ,Water,Psychic,2040,Starmie11,Starmie,,00:04:01.93,00:04:11.98,00:16:01.40,11,0,0,4,11,98,WATER GUN,TACKLE,HARDEN,,10,35,30,0,0,0,0,0,17,38,25,27,30,30,34,525,666,714,441,441,717,15,15,15,15,0,0,0,0,0,0,0,28,27,30,30,34,59696,30545,26637,490,2024,0,0,0,909,909,0,0,36,11,7,4,1,0,505,386,53,53,31,2,18,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1884,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:38:53,NINTEN,Starmie,Lass,2,Route 3,2,4:27.67,4:27,0h4m27s,0,0,0,12,0:17,9.989,WATER GUN,TACKLE,HARDEN,,0,915,37,8,4,35,35,22,4,2088,Jolteon, ,Water,Psychic,2288,Starmie11,Starmie,,00:04:17.68,00:04:27.67,00:17:03.21,12,0,0,4,27,67,WATER GUN,TACKLE,HARDEN,,6,35,30,0,0,0,0,0,30,40,27,29,33,33,37,601,779,789,506,506,839,15,15,15,15,0,0,0,0,0,0,0,30,29,33,33,37,63397,31013,29498,862,2024,0,0,0,915,915,0,0,37,12,8,4,1,0,576,443,62,62,35,2,20,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2132,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:39:07,NINTEN,Starmie,Bug Catcher,6,Route 3,2,4:41.89,4:41,0h4m41s,0,0,0,12,0:17,6.759,WATER GUN,TACKLE,HARDEN,,0,975,44,9,4,37,37,22,4,2238,Jolteon, ,Water,Psychic,2581,Starmie11,Starmie,,00:04:35.13,00:04:41.89,00:17:59.26,12,0,0,4,41,89,WATER GUN,TACKLE,HARDEN,,4,35,30,0,0,0,0,0,30,40,27,29,33,33,37,696,829,879,551,551,914,15,15,15,15,0,0,0,0,0,0,0,30,29,33,33,37,66762,32309,31567,862,2024,0,0,0,975,975,0,0,44,13,9,4,1,0,649,508,62,62,37,2,20,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2425,0,0,0,0,1,13,0,1,1,0,0,11,0,Jolteon
8-06,15:39:43,NINTEN,Starmie,Hiker,1,Mt Moon - 1,3,5:18.42,5:18,0h5m18s,0,0,0,13,0:20,10.242,WATER GUN,TACKLE,HARDEN,,0,1218,56,10,4,40,40,22,5,2348,Jolteon, ,Water,Psychic,3178,Starmie11,Starmie,,00:05:08.17,00:05:18.42,00:20:23.55,13,0,0,5,18,42,WATER GUN,TACKLE,HARDEN,,22,35,30,0,0,0,0,0,43,43,29,32,35,35,39,811,1034,1239,641,641,1024,15,15,15,15,0,0,0,0,0,0,0,32,32,35,35,39,75431,38146,34399,862,2024,0,0,0,1218,1218,0,0,56,14,10,4,1,0,926,594,62,62,40,2,20,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3022,0,0,0,0,2,13,0,1,1,0,0,11,0,Jolteon
