ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt
Starmie7,Starmie,Rival (Lab),00:00:33.055,00:00:41.022,00:02:11.02,5,0,0,0,41,22,WATER GUN,TACKLE,HARDEN,None,14,15,16,16,18,0,0,0,0,0,0,0,14,15,16,16,18,9752,4759,3068,0,1925,0,0,0,71,71,0,0,2,0,1,1,0,0,26,21,10,10,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Starmie7,Starmie,Brock,00:02:42.049,00:02:50.032,00:10:39.11,9,0,0,2,50,32,WATER GUN,TACKLE,HARDEN,None,19,21,23,23,26,0,0,0,0,0,0,0,21,23,25,25,28,40241,24320,13996,0,1925,0,0,0,719,719,0,0,32,0,4,4,2,0,270,163,27,27,13,1,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,0,0,0,0,0,0
Starmie7,Starmie,Rival (Nugget Bridge),00:06:12.056,00:06:32.092,00:25:17.45,16,0,0,6,32,92,WATER GUN,TACKLE,HARDEN,None,33,36,40,40,45,-1,0,0,0,0,0,0,25,38,43,43,48,92953,45004,46024,0,1925,0,0,0,1458,1458,0,0,63,0,13,4,2,0,1454,968,86,86,61,7,26,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5429,0,0,0,0,0,0,0,0,0,0
Starmie7,Starmie,Misty,00:08:59.071,00:09:31.012,00:37:00.53,19,0,0,9,31,12,WATER GUN,TACKLE,HARDEN,THUNDER WAVE,41,45,50,50,56,0,6,0,0,0,0,0,91,180,50,50,56,135150,52828,76937,3460,1925,1,0,0,1607,1607,0,0,79,0,21,4,2,0,2206,1588,215,215,104,11,53,0,0,0,0,0,18,0,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,3,0,0,0,45,9772,0,0,0,0,0,0,0,0,0,1
Starmie7,Starmie,Rocket,00:11:11.017,00:11:19.005,00:44:06.56,21,0,0,11,19,5,BUBBLEBEAM,TACKLE,HARDEN,THUNDER WAVE,45,49,55,55,62,0,0,0,0,0,0,0,50,49,55,55,62,160706,63752,89549,5480,1925,1,0,0,1921,1921,0,0,113,0,26,4,2,0,3023,2048,239,239,119,11,57,0,0,0,0,0,19,0,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,3,0,0,0,56,12342,0,0,0,0,0,0,0,0,0,2
Starmie7,Starmie,Rival (SS Anne),00:13:16.033,00:13:28.032,00:52:35.35,23,0,0,13,28,32,BUBBLEBEAM,REST,HARDEN,THUNDER WAVE,49,54,60,60,68,0,-1,0,0,0,0,0,61,35,60,60,68,191223,75812,104298,9188,1925,1,0,0,2331,2331,0,0,162,0,31,4,2,0,4110,2626,271,271,138,14,63,0,0,0,0,0,24,0,9,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,24,3,0,0,0,69,16376,0,0,0,0,0,0,0,0,0,3
Starmie7,Starmie,Lt. Surge,00:14:15.006,00:14:23.060,00:56:05.28,23,0,0,14,23,60,BUBBLEBEAM,REST,HARDEN,THUNDER WAVE,49,54,60,60,68,-1,0,0,0,0,0,0,36,54,60,60,68,203816,82477,106872,12542,1925,2,0,0,2508,2508,0,0,176,0,32,4,2,0,4194,2702,308,308,142,14,65,0,0,0,0,0,24,0,10,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,24,3,0,0,0,70,17108,0,0,0,0,0,0,0,0,0,5
Starmie7,Starmie,Rival (Pokemon Tower),00:21:12.094,00:21:30.062,01:23:29.24,28,0,0,21,30,62,PSYCHIC,ICE BEAM,HARDEN,THUNDERBOLT,58,63,72,72,80,0,0,0,0,0,0,0,67,74,75,75,83,302456,126914,144054,29406,2082,3,1,0,3860,3292,568,0,314,0,42,5,2,0,7219,4220,413,413,185,18,85,0,0,0,0,0,31,0,11,0,0,3,4,1,0,0,0,0,0,3,0,0,0,0,7,2,9,4,0,0,24,3,0,0,0,97,27645,0,0,0,0,0,0,0,2,1,9
Starmie7,Starmie,Erika,00:25:17.045,00:25:30.040,01:39:15.07,32,0,0,25,30,40,PSYCHIC,ICE BEAM,HARDEN,THUNDERBOLT,67,73,83,83,92,0,0,0,0,0,0,0,77,84,85,85,95,359200,154371,166805,35942,2082,3,1,0,4866,3775,1091,0,373,0,50,8,4,0,10299,5645,441,441,207,19,86,0,0,0,0,0,39,0,11,0,0,3,4,1,0,0,0,0,0,3,0,0,0,0,7,2,9,4,0,0,24,3,0,0,0,118,43426,0,0,0,0,0,0,0,2,1,10
Starmie7,Starmie,Koga,00:27:16.077,00:27:30.042,01:47:08.19,35,0,0,27,30,42,PSYCHIC,ICE BEAM,HARDEN,THUNDERBOLT,75,82,93,93,104,0,0,0,0,0,0,0,84,92,93,93,104,387593,159831,186229,39451,2082,4,1,0,4960,3869,1091,0,398,0,55,8,4,0,12279,7126,558,558,236,20,96,0,0,0,0,0,42,0,12,0,0,3,4,1,0,0,1,0,0,4,0,0,0,0,7,2,9,4,0,0,24,3,0,0,0,133,57539,0,0,0,0,0,0,0,2,1,10
