ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Staryu1,Staryu,Brock,00:23:22.23,00:23:29.93,01:32:10.05,17,0,0,23,29,93,WATER GUN,TACKLE,,,27,31,36,36,42,0,0,0,0,0,0,0,27,31,36,36,42,333798,103382,222608,5787,2021,2,0,0,3623,3623,0,0,162,122,15,107,3,0,3553,2572,576,563,339,52,160,0,0,0,0,0,54,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,121,6468,0,0,0,0,3,12,0,1,1,1,8,1,8,Vaporeon
Staryu1,Staryu,Misty,00:29:05.79,00:29:40.68,01:56:33.05,22,0,0,29,40,68,WATER GUN,TACKLE,HARDEN,,35,40,46,46,53,0,6,0,0,0,0,0,75,160,46,46,53,421578,129562,282965,7030,2021,3,0,0,4507,4507,0,0,206,148,28,120,8,0,6214,3888,700,687,412,60,192,0,0,0,0,0,64,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,161,14503,0,0,0,0,6,12,0,1,1,2,8,1,8,Vaporeon
Staryu1,Staryu,Rival (Nugget Bridge),00:30:12.44,00:30:26.76,01:59:34.45,23,0,0,30,26,76,BUBBLEBEAM,TACKLE,HARDEN,WATER GUN,36,42,48,48,56,0,0,0,0,0,-1,0,45,42,48,48,56,432478,135193,286965,8299,2021,4,0,0,4645,4645,0,0,222,149,29,120,8,0,6530,4059,706,693,417,60,194,0,0,0,0,0,65,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,165,15541,0,0,0,0,6,12,0,1,1,3,8,1,8,Vaporeon
Staryu1,Staryu,Oddish Lass,00:32:23.59,00:32:43.05,02:08:32.08,25,0,0,32,43,5,BUBBLEBEAM,TACKLE,HARDEN,WATER GUN,40,45,52,52,60,0,0,0,0,0,0,0,45,45,52,52,60,464721,142382,310607,9711,2021,5,0,0,4765,4765,0,0,239,159,39,120,8,0,8088,4887,750,737,442,60,201,0,0,0,0,0,68,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,186,19641,0,0,0,0,7,12,0,1,1,3,8,1,8,Vaporeon
Staryu1,Staryu,Rocket,00:33:20.58,00:33:26.97,02:11:25.48,25,0,0,33,26,97,BUBBLEBEAM,TACKLE,HARDEN,WATER GUN,40,45,52,52,60,0,0,0,0,0,0,0,45,45,52,52,60,475141,150258,312607,10255,2021,6,0,0,4957,4957,0,0,262,160,40,120,8,0,8200,4990,750,737,444,60,201,0,0,0,0,0,69,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,188,20330,0,0,0,0,8,12,0,1,1,3,8,1,8,Vaporeon
Staryu1,Staryu,Rival (SS Anne),00:35:12.26,00:35:26.82,02:19:18.16,26,0,0,35,26,82,BUBBLEBEAM,TACKLE,HARDEN,WATER GUN,41,47,54,54,63,0,0,0,0,0,-2,0,57,47,54,54,63,503489,163390,326756,11322,2021,7,0,0,5372,5372,0,0,301,165,45,120,8,0,9332,5568,768,755,462,63,207,0,0,0,0,0,74,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,201,24364,0,0,0,0,13,20,0,1,1,3,8,1,8,Vaporeon
Staryu1,Staryu,Lt. Surge,00:37:05.25,00:37:14.44,02:24:28.25,27,2,0,37,14,44,BUBBLEBEAM,TACKLE,HARDEN,RECOVER,43,49,56,56,65,0,0,0,0,0,0,0,48,49,56,56,65,522103,170941,333323,15663,2176,8,1,0,5567,5567,0,0,330,167,47,120,8,0,9616,5744,833,820,468,63,209,0,0,0,0,0,74,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,204,25798,0,0,0,0,13,20,0,1,1,6,8,1,10,Vaporeon
Staryu1,Staryu,RTG1 - Wrapping Lass,00:38:04.13,00:39:57.44,02:35:13.58,27,2,0,39,57,44,BUBBLEBEAM,TACKLE,HARDEN,RECOVER,43,49,56,56,65,0,5,0,0,0,0,0,84,192,56,56,1,560836,179626,360934,18100,2176,9,1,0,5763,5709,54,0,356,168,48,120,8,0,9917,6009,1203,1190,482,63,246,0,0,0,0,0,74,0,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,12,0,0,0,0,0,0,7,208,27046,0,0,0,0,13,20,0,1,1,6,8,1,10,Vaporeon
Staryu1,Staryu,RTG4 - Status Jr Trainer,00:41:20.97,00:41:38.83,02:41:54.24,28,2,0,41,38,83,BUBBLEBEAM,TACKLE,HARDEN,RECOVER,45,51,58,58,68,-1,0,0,0,0,0,0,32,64,58,58,68,584862,183624,374931,24131,2176,11,1,0,5958,5709,249,0,375,172,52,120,8,0,10665,6501,1251,1238,500,63,254,0,0,0,0,0,79,0,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,12,0,0,0,0,0,0,7,216,29926,0,0,0,0,13,20,0,1,1,6,8,1,10,Vaporeon
Staryu1,Staryu,RTG6 - Finisher,00:42:21.44,00:42:39.45,02:45:54.14,29,2,0,42,39,45,BUBBLEBEAM,TACKLE,HARDEN,RECOVER,46,53,60,60,70,0,0,0,0,0,0,0,51,59,60,60,70,599252,188595,382559,25922,2176,12,1,0,6135,5709,426,0,408,174,54,120,8,0,11668,6819,1279,1266,509,63,257,0,0,0,0,0,79,0,22,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,41,12,0,0,0,0,0,0,7,222,32166,0,0,0,0,13,20,0,1,1,6,8,1,10,Vaporeon
