ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Tangela 1,Tangela,Brock,00:36:38.59,00:37:13.69,02:26:10.04,18,0,0,37,13,69,CONSTRICT,,,,32,55,48,48,34,0,-4,0,0,0,0,0,32,18,48,48,34,528165,117783,396466,11927,1989,5,0,0,5019,5019,0,0,213,282,14,268,175,2,2939,2386,949,941,565,34,180,0,0,0,0,0,59,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,110,6260,0,0,0,0,6,11,2,0,0,0,8,1,8,Vaporeon
Tangela 1,Tangela,Misty,00:51:01.50,00:51:29.25,03:06:09.34,24,13,0,51,29,25,BIND,CONSTRICT,,,42,72,63,63,45,0,0,0,0,0,0,0,47,72,63,63,45,672146,177977,466741,25124,2305,15,2,0,7081,7081,0,0,383,298,25,273,177,2,4104,3372,1314,1306,700,56,246,0,0,0,0,0,74,0,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,139,12388,0,0,0,0,12,44,6,0,0,1,9,1,22,Vaporeon
Tangela 1,Tangela,Rival (Nugget Bridge),00:51:48.61,00:52:18.40,03:09:24.08,25,13,0,52,18,40,BIND,CONSTRICT,,,44,75,66,66,47,0,0,0,0,0,0,0,49,75,66,66,47,683820,181416,474432,25668,2305,16,2,0,7157,7157,0,0,393,299,26,273,177,2,4285,3543,1339,1331,707,61,249,0,0,0,0,0,75,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,143,13426,0,0,0,0,12,44,6,0,0,1,9,1,22,Vaporeon
Tangela 1,Tangela,Oddish Lass,00:55:46.37,00:56:26.77,03:25:47.01,27,13,0,56,26,77,ABSORB,CONSTRICT,BIND,,47,81,71,71,51,0,0,0,0,0,0,0,52,81,71,71,51,742793,193422,520851,26216,2305,17,2,0,7445,7445,0,0,427,309,36,273,177,2,5640,4452,1403,1395,771,72,282,0,0,0,0,0,77,0,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,166,18127,0,0,0,0,13,44,6,0,0,2,9,1,22,Vaporeon
Tangela 1,Tangela,Rocket,00:57:00.81,00:57:13.09,03:28:50.08,28,13,0,57,13,9,ABSORB,CONSTRICT,BIND,,49,84,74,74,52,0,0,0,0,0,0,0,55,84,74,74,52,753780,201016,524244,26216,2305,17,2,0,7642,7642,0,0,443,310,37,273,177,2,5769,4555,1409,1401,775,72,283,0,0,0,0,0,78,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,168,18816,0,0,0,0,14,44,6,0,0,2,9,1,22,Vaporeon
Tangela 1,Tangela,Rival (SS Anne),00:59:06.11,00:59:25.07,03:37:31.24,29,13,0,59,25,7,BODY SLAM,VINE WHIP,BIND,ABSORB,51,87,76,76,54,0,-1,0,0,0,0,0,64,57,76,76,54,785056,210661,544082,28009,2305,19,2,0,7968,7968,0,0,465,315,42,273,177,2,6508,5100,1448,1440,794,84,295,0,0,0,0,0,80,0,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,180,22307,0,0,0,0,17,47,6,0,0,4,9,1,22,Vaporeon
Tangela 1,Tangela,Lt. Surge,01:00:09.63,01:00:20.98,03:41:12.11,29,13,1,0,20,98,BODY SLAM,VINE WHIP,BIND,ABSORB,51,87,76,76,54,-2,0,0,0,0,0,0,28,87,76,76,54,798303,217633,547327,31039,2305,20,2,0,8149,8149,0,0,477,316,43,273,177,2,6585,5176,1462,1454,799,85,298,0,0,0,0,0,80,0,23,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,181,23039,0,0,0,0,17,47,6,0,0,6,9,1,22,Vaporeon
Tangela 1,Tangela,RTG1 - Wrapping Lass,01:01:11.33,01:01:27.23,03:45:33.24,30,13,1,1,27,23,BODY SLAM,VINE WHIP,BIND,ABSORB,53,90,79,79,56,0,0,0,0,0,0,0,59,101,79,79,56,813976,225867,551689,34116,2305,21,2,0,8346,8294,52,0,499,317,44,273,177,2,6880,5367,1463,1455,805,85,300,0,0,0,0,0,81,0,23,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,7,185,24287,0,0,0,0,17,47,6,0,0,6,9,1,22,Vaporeon
Tangela 1,Tangela,RTG4 - Status Jr Trainer,01:02:17.98,01:02:28.95,03:49:36.50,31,13,1,2,28,95,BODY SLAM,VINE WHIP,BIND,ABSORB,55,93,82,82,58,0,0,0,0,0,0,0,61,104,82,82,14,828582,229095,561583,35600,2305,21,2,0,8542,8294,248,0,520,321,48,273,177,2,7597,5856,1469,1461,817,85,306,0,0,0,0,0,81,0,23,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0,3,0,0,0,7,193,27167,0,0,0,0,17,47,6,0,0,6,9,1,22,Vaporeon
Tangela 1,Tangela,RTG6 - Finisher,01:03:08.48,01:03:24.18,03:53:14.54,31,13,1,3,24,18,BODY SLAM,VINE WHIP,BIND,ABSORB,55,93,82,82,58,0,0,0,0,0,0,0,61,104,82,82,14,841666,232863,568408,38091,2305,21,2,0,8708,8294,414,0,537,323,50,273,177,2,8456,6165,1477,1469,824,86,310,0,0,0,0,0,82,0,24,0,0,1,3,2,0,0,0,0,0,2,0,0,0,0,1,1,8,1,0,0,3,0,0,0,7,199,29407,0,0,0,0,17,47,6,0,0,6,9,1,22,Vaporeon
