date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-01,15:15:58,NINTEN,Tauros,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.10,43,0h0m43s,0,0,0,5,0:02,7.267,TACKLE,,,,0,73,6,1,1,3,3,2,0,3000,Jolteon, ,Normal,Normal,253,Tauros7,Tauros,Rival (Lab),00:00:35.84,00:00:43.10,00:02:18.01,5,0,0,0,43,10,TACKLE,,,,32,0,0,0,0,0,0,0,18,24,16,16,13,13,17,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,16,10,13,13,17,10204,5283,2970,0,1951,0,0,0,73,73,0,0,6,2,1,1,0,0,26,21,6,6,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
1-01,15:17:21,NINTEN,Tauros,Bug Catcher,1,Viridian Forest,2,2:05.74,2:05,0h2m5s,0,0,0,6,0:07,13.858,TACKLE,,,,0,525,31,2,2,9,9,7,4,75,Flareon, ,Normal,Normal,411,Tauros7,Tauros,,00:01:51.88,00:02:05.74,00:07:44.29,6,0,0,2,5,74,TACKLE,,,,29,0,0,0,0,0,0,0,20,26,18,18,15,15,20,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-1,0,0,18,18,15,15,13,29792,20220,7621,0,1951,0,0,0,525,525,0,0,31,4,2,2,0,0,79,69,12,12,9,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,7,0,Flareon
1-01,15:17:54,NINTEN,Tauros,Bug Catcher,2,Viridian Forest,3,2:38.47,2:38,0h2m38s,0,0,0,8,0:09,21.734,TACKLE,,,,0,539,31,3,3,23,23,18,4,145,Flareon, ,Normal,Normal,697,Tauros7,Tauros,,00:02:16.74,00:02:38.47,00:09:53.54,8,0,0,2,38,47,TACKLE,,,,15,0,0,0,0,0,0,0,22,32,23,22,18,18,25,335,215,300,195,195,295,15,15,15,15,0,0,0,0,-2,0,0,23,22,18,18,12,37557,20705,14901,0,1951,0,0,0,539,539,0,0,31,6,3,3,0,0,172,155,16,16,21,4,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,541,0,0,0,0,0,13,0,0,0,0,0,7,0,Flareon
1-01,15:18:35,NINTEN,Tauros,Lass,19,Viridian Forest,2,3:19.37,3:19,0h3m19s,0,1,1,9,0:12,9.891,TACKLE,,,,0,589,43,4,7,34,34,24,3,205,Flareon, ,Normal,Normal,960,Tauros7,Tauros,,00:03:09.47,00:03:19.37,00:12:34.59,9,0,0,3,19,37,TACKLE,,,,4,0,0,0,0,0,0,0,23,35,26,25,20,20,27,581,389,537,345,345,491,15,15,15,15,0,0,0,0,0,0,0,26,25,20,20,27,47222,21774,23497,0,1951,0,0,0,589,589,0,0,43,11,4,7,0,0,337,271,18,18,32,6,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,804,0,0,0,0,0,13,0,1,1,0,1,7,1,Flareon
1-01,15:19:17,NINTEN,Tauros,Rival1a-Route 22,2,Route 22,2,4:02.27,4:02,0h4m2s,0,1,1,10,0:15,14.048,TACKLE,,,,0,748,53,5,8,45,45,32,3,295,Flareon, ,Normal,Normal,1267,Tauros7,Tauros,Rival (Optional),00:03:48.22,00:04:02.27,00:15:24.28,10,0,0,4,2,27,TACKLE,,,,28,0,0,0,0,0,0,0,23,38,28,27,22,22,30,716,549,657,476,476,672,15,15,15,15,0,-2,0,0,0,0,0,28,13,22,22,30,57391,26219,29221,0,1951,0,0,0,748,748,0,0,53,13,5,8,0,0,426,346,36,36,39,10,20,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1111,0,0,0,0,0,13,0,1,1,0,1,7,1,Flareon
1-01,15:20:33,NINTEN,Tauros,Bug Catcher,15,Viridian Forest,2,5:17.85,5:17,0h5m17s,0,1,1,11,0:20,11.813,TACKLE,,,,0,964,60,6,14,66,66,45,3,575,Jolteon, ,Normal,Normal,1834,Tauros7,Tauros,,00:05:06.04,00:05:17.85,00:20:22.43,11,0,0,5,17,85,TACKLE,,,,14,0,0,0,0,0,0,0,25,41,31,30,24,24,33,1109,789,1017,681,681,1013,15,15,15,15,0,0,0,0,-1,0,0,31,30,24,24,21,75286,32054,41281,0,1951,0,0,0,964,964,0,0,60,20,6,14,0,0,692,526,52,52,56,15,29,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1678,0,0,0,0,1,13,0,1,1,0,1,7,1,Jolteon
1-01,15:20:55,NINTEN,Tauros,Bug Catcher,3,Viridian Forest,1,5:40.31,5:40,0h5m40s,0,1,1,11,0:21,5.687,TACKLE,,,,0,1012,62,7,16,72,72,48,3,655,Jolteon, ,Normal,Normal,2122,Tauros7,Tauros,,00:05:34.62,00:05:40.31,00:21:51.08,11,0,0,5,40,31,TACKLE,,,,8,0,0,0,0,0,0,0,15,41,31,30,24,24,33,1257,924,1147,786,786,1185,15,15,15,15,0,0,0,0,0,0,0,31,30,24,24,33,80591,33050,45590,0,1951,0,0,0,1012,1012,0,0,62,23,7,16,0,0,799,604,62,62,62,16,31,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1966,0,0,0,0,1,13,0,1,1,0,1,7,1,Jolteon
1-01,15:22:06,NINTEN,Tauros,Jr Trainer M,1,Pewter City - Gym,2,6:50.86,6:50,0h6m50s,0,1,1,13,0:26,10.328,TACKLE,,,,0,1206,64,8,24,85,85,51,3,755,Jolteon, ,Normal,Normal,2772,Tauros7,Tauros,,00:06:40.54,00:06:50.86,00:26:28.22,13,0,0,6,50,86,TACKLE,,,,31,0,0,0,0,0,0,0,41,47,36,34,28,28,38,1667,1329,1572,1071,1071,1698,15,15,15,15,0,0,0,0,0,0,0,36,34,28,28,38,97225,38068,56775,431,1951,0,0,0,1206,1206,0,0,64,32,8,24,0,0,1124,813,80,80,75,16,34,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2616,0,0,0,0,2,13,0,1,1,0,1,7,1,Jolteon
1-01,15:22:44,NINTEN,Tauros,Brock,1,Pewter City - Gym,2,7:29.29,7:29,0h7m29s,0,1,1,13,0:29,30.39,TACKLE,,,,1,1210,65,9,24,103,103,62,3,935,Jolteon, ,Normal,Normal,3232,Tauros7,Tauros,Brock,00:06:58.90,00:07:29.29,00:29:00.37,13,0,0,7,29,29,TACKLE,,,,13,0,0,0,0,0,0,0,10,47,36,34,28,28,38,1742,1454,1832,1131,1131,1788,15,15,15,15,0,-2,0,0,0,0,0,36,17,28,28,38,106360,38596,64572,1241,1951,1,0,0,1210,1210,0,0,65,33,9,24,0,0,1191,874,117,117,92,20,40,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3076,0,0,0,0,2,13,0,1,1,0,1,7,1,Jolteon
1-01,15:23:13,NINTEN,Tauros,Bug Catcher,4,Route 3,3,7:57.46,7:57,0h7m57s,0,1,1,14,0:30,15.064,TACKLE,,,,1,1283,66,10,24,110,110,66,4,2123,Jolteon,Poisoned,Normal,Normal,3567,Tauros7,Tauros,,00:07:42.40,00:07:57.46,00:30:51.58,14,0,0,7,57,46,TACKLE,,,,6,0,0,0,0,0,0,0,4,50,38,37,29,29,41,1872,1549,1932,1191,1191,1928,15,15,15,15,0,0,0,0,0,0,0,42,37,29,29,41,113041,40708,69141,1241,1951,1,0,0,1283,1283,0,0,66,34,10,24,0,0,1330,963,126,126,98,22,43,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3411,0,0,0,0,2,13,0,1,1,0,1,7,1,Jolteon
