ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Tauros2,Tauros,Brock,00:00:03.64,00:00:07.91,00:27:01.36,12,0,0,0,7,91,TACKLE,,,,33,32,26,26,36,0,-6,0,0,0,0,0,33,8,26,26,36,99280,41000,55846,270,2164,1,1,0,1298,1298,0,0,57,23,10,13,1,0,902,649,135,135,79,15,47,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,2470,0,0,0,0,1,13,0,1,1,0,0,2,0,Jolteon
Tauros2,Tauros,Rival (Nugget Bridge),00:05:01.96,00:05:13.37,00:50:46.13,21,0,0,5,13,37,STOMP,TACKLE,,,56,53,43,43,60,0,0,0,0,0,0,0,63,53,43,43,60,184757,70756,107609,4228,2164,2,1,0,2122,2122,0,0,88,40,24,16,1,0,2682,1924,238,238,150,29,78,0,0,0,0,0,31,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,66,9534,0,0,0,0,3,13,0,1,1,1,0,2,0,Jolteon
Tauros2,Tauros,Oddish Lass,00:07:05.32,00:07:13.13,00:58:37.31,23,0,0,7,13,13,STOMP,TACKLE,,,61,59,47,47,66,0,0,0,0,0,0,0,68,59,47,47,66,213035,77298,128481,5092,2164,2,1,0,2242,2242,0,0,105,50,34,16,1,0,4169,2740,253,253,173,29,81,0,0,0,0,0,34,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,87,13634,0,0,0,0,4,13,0,1,1,1,0,2,0,Jolteon
Tauros2,Tauros,Rocket,00:07:39.81,00:07:46.65,01:00:49.59,24,0,0,7,46,65,STOMP,TACKLE,,,64,61,49,49,69,0,0,0,0,0,0,0,72,61,49,49,69,220983,83150,130577,5092,2164,2,1,0,2388,2388,0,0,121,51,35,16,1,0,4287,2843,253,253,175,29,81,0,0,0,0,0,34,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,89,14323,0,0,0,0,5,13,0,1,1,1,0,2,0,Jolteon
Tauros2,Tauros,Misty,00:07:58.07,00:08:04.95,01:02:02.07,24,0,0,8,4,95,STOMP,TACKLE,,,64,61,49,49,69,0,0,0,0,0,0,0,72,61,49,49,69,225311,84718,132726,5703,2164,2,1,0,2428,2428,0,0,124,52,36,16,1,0,4409,2943,253,253,178,29,81,0,0,0,0,0,34,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,91,15662,0,0,0,0,5,13,0,1,1,1,0,2,0,Jolteon
Tauros2,Tauros,Rival (Optional),00:00:04.66,00:00:04.80,00:09:30.27,7,0,0,0,4,80,TACKLE,,,,21,20,17,17,22,-1,-3,0,0,0,-1,0,13,8,17,17,22,36206,21133,13066,0,2007,0,0,0,530,530,0,0,31,5,3,2,1,0,133,115,49,49,19,3,15,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,476,0,0,0,0,0,13,0,0,0,0,0,2,0,Flareon
Tauros2,Tauros,Rival (Nugget Bridge),00:02:53.85,00:03:18.94,00:41:34.06,17,0,0,3,18,94,TACKLE,,,,45,44,35,35,49,0,-2,0,0,0,-3,0,63,22,35,35,49,151630,60302,87568,1596,2164,1,1,0,1975,1975,0,0,79,30,17,13,1,0,1892,1364,237,237,126,28,71,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,6411,0,0,0,0,3,13,0,1,1,0,0,2,0,Jolteon
Tauros2,Tauros,Oddish Lass,00:05:57.04,00:06:08.79,00:52:43.52,20,0,0,6,8,79,TACKLE,,,,53,51,41,41,57,0,0,0,0,0,0,0,59,51,41,41,57,191816,69138,117167,3347,2164,1,1,0,2165,2165,0,0,98,40,27,13,1,0,3017,2181,329,329,167,31,91,0,0,0,0,0,41,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,10511,0,0,0,0,4,13,0,1,1,0,0,2,0,Jolteon
Tauros2,Tauros,Rocket,00:06:34.67,00:06:44.87,00:55:06.29,20,0,0,6,44,87,TACKLE,,,,53,51,41,41,57,0,0,0,0,0,0,0,59,51,41,41,57,200373,74802,120060,3347,2164,1,1,0,2307,2307,0,0,107,41,28,13,1,0,3149,2284,366,366,171,31,93,0,0,0,0,0,42,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,11200,0,0,0,0,5,13,0,1,1,0,0,2,0,Jolteon
Tauros2,Tauros,Misty,00:07:12.14,00:07:20.96,00:57:28.59,21,0,0,7,20,96,STOMP,TACKLE,,,56,54,43,43,60,0,0,0,0,0,0,0,63,54,43,43,60,208923,78168,125244,3347,2164,1,1,0,2383,2383,0,0,114,43,30,13,1,0,3354,2433,371,371,178,31,95,0,0,0,0,0,43,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,74,12990,0,0,0,0,5,13,0,1,1,1,0,2,0,Jolteon
