player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Vaporeon,Rival1-Lab,43,0,0,6,0:02,8.487,WATER GUN,TAIL WHIP,QUICK ATTACK,TACKLE
NINTEN,Vaporeon,Brock,2:47,0,1,9,0:10,13.685,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK
NINTEN,Vaporeon,Misty,7:01,0,1,17,0:27,42.673,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK
NINTEN,Vaporeon,Rival2-Nugget Bridge,7:39,0,1,18,0:29,14.45,BUBBLEBEAM,QUICK ATTACK,TAIL WHIP,WATER GUN
NINTEN,Vaporeon,Cerulean Rocket,10:26,0,1,22,0:40,8.379,BUBBLEBEAM,QUICK ATTACK,TAIL WHIP,WATER GUN
NINTEN,Vaporeon,Rival3-SS Anne,12:42,0,1,24,0:49,13.125,BUBBLEBEAM,QUICK ATTACK,BODY SLAM,WATER GUN
NINTEN,Vaporeon,Surge,14:06,2,1,25,0:53,8.564,BUBBLEBEAM,QUICK ATTACK,BODY SLAM,WATER GUN
NINTEN,Vaporeon,Rival4-Pkmn Tower,20:09,2,1,29,1:17,20.403,BUBBLEBEAM,ICE BEAM,BODY SLAM,WATER GUN
NINTEN,Vaporeon,Rival5-Silph,26:07,2,2,42,1:40,27.338,SURF,ICE BEAM,BODY SLAM,BUBBLEBEAM
NINTEN,Vaporeon,Erika,27:47,2,2,44,1:47,9.086,SURF,ICE BEAM,BODY SLAM,BUBBLEBEAM
NINTEN,Vaporeon,Koga,29:07,2,2,45,1:52,18.655,SURF,BODY SLAM,BUBBLEBEAM,ICE BEAM
NINTEN,Vaporeon,Blaine,31:22,2,2,46,2:01,22.439,SURF,BODY SLAM,BUBBLEBEAM,ICE BEAM
NINTEN,Vaporeon,Sabrina,32:16,2,2,47,2:04,19.303,SURF,BODY SLAM,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Giovanni,34:02,4,2,49,2:09,20.106,SURF,BODY SLAM,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Rival6-Route 22,35:07,4,2,50,2:13,35.404,SURF,BODY SLAM,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Lorelei,39:09,5,2,52,2:27,59.622,SURF,MIMIC,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Bruno,39:43,5,2,53,2:29,18.052,SURF,MIMIC,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Agatha,40:39,5,2,57,2:33,36.738,SURF,MIMIC,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Lance,41:23,5,2,58,2:36,26.914,SURF,MIMIC,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Champion,42:36,5,2,60,2:40,50.868,SURF,MIMIC,ACID ARMOR,ICE BEAM
NINTEN,Vaporeon,Champion,42:36,5,2,60,2:42,73.246,SURF,MIMIC,ACID ARMOR,ICE BEAM
