date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
2-15,13:41:01,NINTEN,Vaporeon,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.04,42,0h0m42s,0,0,0,6,0:02,8.039,WATER GUN,TAIL WHIP,QUICK ATTACK,TACKLE,0,71,1,1,1,3,3,2,0,3000,Jolteon, ,Water,Water,222,Vaporeon7,Vaporeon,Rival (Lab),00:00:34.00,00:00:42.04,00:02:12.38,6,0,0,0,42,4,WATER GUN,TAIL WHIP,QUICK ATTACK,TACKLE,22,30,30,35,0,0,0,0,28,33,14,14,20,20,14,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,14,14,20,20,14,9945,4778,3152,0,2015,0,0,0,71,71,0,0,1,2,1,1,0,0,24,21,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
2-15,13:42:35,NINTEN,Vaporeon,Bug Catcher,3,Viridian Forest,1,2:15.41,2:15,0h2m15s,0,0,0,6,0:08,7.515,WATER GUN,TAIL WHIP,QUICK ATTACK,TACKLE,0,631,29,2,3,7,7,6,3,75,Flareon, ,Water,Water,334,Vaporeon7,Vaporeon,,00:02:07.90,00:02:15.41,00:08:21.37,6,0,0,2,15,41,WATER GUN,TAIL WHIP,QUICK ATTACK,TACKLE,21,30,30,35,0,0,0,0,22,33,14,14,20,20,14,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,14,14,20,20,14,32084,21884,8185,0,2015,0,0,0,631,631,0,0,29,5,2,3,0,0,68,65,16,16,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,7,0,Flareon
2-15,13:43:00,NINTEN,Vaporeon,Brock,1,Pewter City - Gym,2,2:40.42,2:40,0h2m40s,0,0,0,9,0:10,12.924,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,735,31,3,3,9,9,7,3,175,Flareon, ,Water,Water,794,Vaporeon7,Vaporeon,Brock,00:02:27.50,00:02:40.42,00:10:00.24,9,0,0,2,40,42,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,19,30,30,15,0,0,0,0,34,45,19,18,27,27,19,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,19,18,27,27,19,38011,24250,11746,0,2015,0,0,0,735,735,0,0,31,6,3,3,0,0,153,126,16,16,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,1,0,7,0,Flareon
2-15,13:43:28,NINTEN,Vaporeon,Bug Catcher,4,Route 3,3,3:08.80,3:08,0h3m8s,0,0,0,10,0:11,15.441,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,806,31,4,3,15,15,12,4,1363,Flareon, ,Water,Water,1129,Vaporeon7,Vaporeon,,00:02:53.37,00:03:08.80,00:11:52.38,10,0,0,3,8,80,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,13,30,30,15,0,0,0,0,32,49,21,20,30,30,21,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-2,0,0,25,20,30,30,10,44745,26320,16410,0,2015,0,0,0,806,806,0,0,31,7,4,3,0,0,277,215,22,22,15,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,1,1,1,0,7,0,Flareon
2-15,13:43:42,NINTEN,Vaporeon,Youngster,1,Route 3,2,3:22.89,3:22,0h3m22s,0,0,0,11,0:12,10.657,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,0,810,31,5,3,19,19,15,4,1463,Flareon, ,Water,Water,1407,Vaporeon7,Vaporeon,,00:03:12.23,00:03:22.89,00:12:48.11,11,0,0,3,22,89,WATER GUN,TAIL WHIP,QUICK ATTACK,SAND-ATTACK,9,30,30,15,0,0,0,0,24,53,23,22,32,32,23,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,25,22,32,32,23,48078,26634,19429,0,2015,0,0,0,810,810,0,0,31,8,5,3,0,0,354,274,34,34,19,4,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,1,0,7,0,Flareon
2-15,13:44:08,NINTEN,Vaporeon,Bug Catcher,5,Route 3,4,3:48.93,3:48,0h3m48s,0,0,0,12,0:14,21.165,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,0,814,32,6,3,27,27,19,4,1628,Flareon, ,Water,Water,1882,Vaporeon7,Vaporeon,,00:03:27.76,00:03:48.93,00:14:30.55,12,0,0,3,48,93,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,4,27,30,15,0,0,0,0,48,57,24,23,35,35,24,550,531,694,360,360,617,15,15,15,15,0,0,0,0,-1,0,0,27,23,35,35,15,54242,26899,24947,381,2015,0,0,0,814,814,0,0,32,9,6,3,0,0,497,386,34,34,27,5,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,13,0,1,1,1,0,7,0,Flareon
2-15,13:44:21,NINTEN,Vaporeon,Bug Catcher,6,Route 3,2,4:01.35,4:01,0h4m1s,0,0,0,12,0:15,8.112,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,0,822,33,7,3,30,30,20,4,1718,Flareon, ,Water,Water,2175,Vaporeon7,Vaporeon,,00:03:53.24,00:04:01.35,00:15:19.53,12,0,0,4,1,35,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,1,27,30,15,0,0,0,0,48,57,24,23,35,35,24,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,27,23,35,35,24,57180,27391,27393,381,2015,0,0,0,822,822,0,0,33,10,7,3,0,0,584,451,34,34,30,5,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,13,0,1,1,1,0,7,0,Flareon
2-15,13:45:17,NINTEN,Vaporeon,Super Nerd,2,Mt Moon - 3,3,4:57.82,4:57,0h4m57s,0,0,0,14,0:19,19.729,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,0,1188,46,8,3,37,37,25,5,1828,Flareon, ,Water,Water,2962,Vaporeon7,Vaporeon,,00:04:38.09,00:04:57.82,00:19:03.29,14,0,0,4,57,82,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,19,29,30,15,0,0,0,0,47,65,28,27,40,40,28,805,756,979,560,560,852,15,15,15,15,0,-2,0,0,0,0,0,31,13,40,40,28,70596,35709,32491,381,2015,0,0,0,1188,1188,0,0,46,11,8,3,0,0,712,560,52,52,37,5,16,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2837,0,0,0,0,2,13,0,1,1,1,0,7,0,Flareon
2-15,13:45:40,NINTEN,Vaporeon,Rocket,42,Mt Moon - 3,3,5:20.44,5:20,0h5m20s,0,0,0,15,0:20,14.834,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,0,1204,48,9,3,43,43,29,6,2128,Flareon, ,Water,Water,3697,Vaporeon7,Vaporeon,,00:05:05.61,00:05:20.44,00:20:32.58,15,0,0,5,20,44,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,13,29,30,15,0,0,0,0,48,69,30,28,43,43,30,920,926,1153,700,700,1032,15,15,15,15,-2,0,0,0,0,0,0,16,28,43,43,30,75965,37157,36412,381,2015,0,0,0,1204,1204,0,0,48,12,9,3,0,0,831,670,55,55,43,6,19,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3572,0,0,0,0,2,13,0,1,1,1,0,7,0,Flareon
2-15,13:46:19,NINTEN,Vaporeon,Jr Trainer F,1,Cerulean City - Gym,1,5:59.46,5:59,0h5m59s,0,0,0,16,0:23,16.277,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,0,1354,55,10,3,50,50,35,6,2548,Flareon, ,Water,Water,4148,Vaporeon7,Vaporeon,,00:05:43.18,00:05:59.46,00:23:07.16,16,0,0,5,59,46,WATER GUN,QUICK ATTACK,TAIL WHIP,SAND-ATTACK,25,25,29,14,0,0,0,0,58,73,31,30,46,46,31,965,993,1213,750,750,1095,15,15,15,15,0,-2,0,0,0,0,0,34,15,46,46,31,85223,41501,40739,968,2015,0,0,0,1354,1354,0,0,55,13,10,3,0,0,892,719,70,70,50,9,22,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4023,0,0,0,0,2,13,0,1,1,1,0,7,0,Flareon
