date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-24,11:16:56,NINTEN,Venomoth,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.52,44,0h0m44s,0,0,0,6,0:02,10.258,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,71,5,1,1,5,5,4,0,3000,Jolteon, ,Bug,Poison,222,Venomoth3,Venomoth,Rival (Lab),00:00:34.26,00:00:44.52,00:02:22.36,6,0,0,0,44,52,CONFUSION,DISABLE,SUPERSONIC,TACKLE,20,20,20,35,0,0,0,0,8,26,14,14,17,17,17,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,9,17,17,17,10537,4839,3689,0,2009,0,0,0,71,71,0,0,5,2,1,1,0,0,24,21,18,18,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
1-24,11:18:10,NINTEN,Venomoth,Lass,19,Viridian Forest,2,1:59.20,1:59,0h1m59s,0,0,0,7,0:07,9.543,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,506,28,2,2,8,8,4,3,75,Flareon, ,Bug,Poison,373,Venomoth3,Venomoth,,00:01:49.65,00:01:59.20,00:07:17.25,7,0,0,1,59,20,CONFUSION,DISABLE,SUPERSONIC,TACKLE,22,20,20,35,0,0,0,0,29,29,16,15,19,19,19,156,159,142,145,145,146,15,15,15,15,0,0,0,0,0,0,0,16,15,19,19,19,28226,18906,7311,0,2009,0,0,0,506,506,0,0,28,4,2,2,0,0,82,66,18,18,7,1,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,248,0,0,0,0,0,11,0,0,0,0,0,3,0,Flareon
1-24,11:18:33,NINTEN,Venomoth,Bug Catcher,2,Viridian Forest,3,2:21.63,2:21,0h2m21s,0,0,0,8,0:08,13.986,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,574,31,3,2,15,15,7,3,165,Flareon, ,Bug,Poison,622,Venomoth3,Venomoth,,00:02:07.65,00:02:21.63,00:08:46.06,8,0,0,2,21,63,CONFUSION,DISABLE,SUPERSONIC,TACKLE,15,20,20,35,0,0,0,0,29,31,18,17,22,22,22,301,229,287,215,215,251,15,15,15,15,0,0,0,0,0,0,0,18,17,22,22,22,33547,20535,11003,0,2009,0,0,0,574,574,0,0,31,5,3,2,0,0,169,132,20,20,14,2,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,497,0,0,0,0,0,11,0,0,0,0,0,3,0,Flareon
1-24,11:19:00,NINTEN,Venomoth,Bug Catcher,3,Viridian Forest,1,2:49.19,2:49,0h2m49s,0,0,0,9,0:10,7.831,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,659,34,4,3,21,21,12,2,225,Flareon, ,Bug,Poison,734,Venomoth3,Venomoth,,00:02:41.37,00:02:49.19,00:10:35.08,9,0,0,2,49,19,CONFUSION,DISABLE,SUPERSONIC,TACKLE,9,20,20,35,0,0,0,0,21,34,19,18,24,24,24,346,259,322,235,235,296,15,15,15,15,0,0,0,0,0,0,0,19,18,24,24,24,40089,22606,15474,0,2009,0,0,0,659,659,0,0,34,7,4,3,0,0,220,179,31,31,19,4,9,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,609,0,0,0,0,1,11,0,1,1,0,0,3,0,Flareon
1-24,11:19:30,NINTEN,Venomoth,Brock,1,Pewter City - Gym,2,3:18.33,3:18,0h3m18s,0,0,0,10,0:12,14.98,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,765,36,5,3,28,28,14,2,325,Flareon, ,Bug,Poison,1194,Venomoth3,Venomoth,Brock,00:03:03.35,00:03:18.33,00:12:30.09,10,0,0,3,18,33,CONFUSION,DISABLE,SUPERSONIC,TACKLE,4,20,18,35,0,0,0,0,31,37,21,20,26,26,26,421,384,582,295,295,386,15,15,15,15,0,0,0,0,0,0,0,21,20,26,26,26,46990,25083,19519,379,2009,0,0,0,765,765,0,0,36,8,5,3,0,0,289,240,37,37,25,5,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,9,1069,0,0,0,0,1,11,0,1,1,0,0,3,0,Flareon
1-24,11:20:01,NINTEN,Venomoth,Bug Catcher,4,Route 3,3,3:49.36,3:49,0h3m49s,0,0,0,11,0:14,11.189,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,876,37,6,3,33,33,16,3,1513,Flareon, ,Bug,Poison,1529,Venomoth3,Venomoth,,00:03:38.18,00:03:49.36,00:14:32.42,11,0,0,3,49,36,CONFUSION,DISABLE,SUPERSONIC,TACKLE,20,20,20,35,0,0,0,0,37,40,23,22,28,28,28,551,479,682,355,355,526,15,15,15,15,0,0,0,0,0,0,0,25,22,28,28,28,54343,28781,23174,379,2009,0,0,0,876,876,0,0,37,9,6,3,0,0,392,329,40,40,30,6,11,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,12,1404,0,0,0,0,1,11,0,1,1,0,0,3,0,Flareon
1-24,11:20:13,NINTEN,Venomoth,Youngster,1,Route 3,2,4:01.61,4:01,0h4m1s,0,0,0,12,0:15,8.735,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,880,37,7,3,37,37,18,3,1613,Flareon, ,Bug,Poison,1807,Venomoth3,Venomoth,,00:03:52.88,00:04:01.61,00:15:20.59,12,0,0,4,1,61,CONFUSION,DISABLE,SUPERSONIC,TACKLE,16,20,20,35,0,0,0,0,40,43,24,23,30,30,30,616,595,761,420,420,653,15,15,15,15,0,0,0,0,0,0,0,27,23,30,30,30,57240,29117,25735,379,2009,0,0,0,880,880,0,0,37,10,7,3,0,0,469,388,40,40,34,8,11,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,14,1682,0,0,0,0,1,11,0,1,1,0,0,3,0,Flareon
1-24,11:20:28,NINTEN,Venomoth,Bug Catcher,5,Route 3,4,4:17.28,4:17,0h4m17s,0,0,0,13,0:16,12.86,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,884,38,8,3,42,42,19,3,1778,Flareon, ,Bug,Poison,2282,Venomoth3,Venomoth,,00:04:04.42,00:04:17.28,00:16:22.41,13,0,0,4,17,28,CONFUSION,DISABLE,SUPERSONIC,TACKLE,11,20,20,35,0,0,0,0,43,46,26,25,32,32,33,796,705,931,510,510,813,15,15,15,15,0,0,0,0,0,0,0,29,25,32,32,33,60942,29291,29263,379,2009,0,0,0,884,884,0,0,38,11,8,3,0,0,613,500,40,40,39,9,11,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,18,2157,0,0,0,0,1,11,0,1,1,0,0,3,0,Flareon
1-24,11:20:41,NINTEN,Venomoth,Bug Catcher,6,Route 3,2,4:30.22,4:30,0h4m30s,0,0,0,13,0:17,8.566,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,892,39,9,3,46,46,21,3,1868,Flareon, ,Bug,Poison,2575,Venomoth3,Venomoth,,00:04:21.66,00:04:30.22,00:17:13.41,13,0,0,4,30,22,CONFUSION,DISABLE,SUPERSONIC,TACKLE,7,20,20,35,0,0,0,0,43,46,26,25,32,32,33,891,755,1021,555,555,888,15,15,15,15,0,0,0,0,-1,0,0,32,25,32,32,21,64002,29802,31812,379,2009,0,0,0,892,892,0,0,39,12,9,3,0,0,688,565,40,40,43,9,12,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,20,2450,0,0,0,0,1,11,0,1,1,0,0,3,0,Flareon
1-24,11:21:32,NINTEN,Venomoth,Super Nerd,2,Mt Moon - 3,3,5:20.32,5:20,0h5m20s,0,0,0,14,0:20,13.102,CONFUSION,DISABLE,SUPERSONIC,TACKLE,0,1262,53,10,3,52,52,24,4,1978,Flareon, ,Bug,Poison,3362,Venomoth3,Venomoth,,00:05:07.22,00:05:20.32,00:20:31.56,14,0,0,5,20,32,CONFUSION,DISABLE,SUPERSONIC,TACKLE,19,20,20,35,0,0,0,0,48,48,28,27,35,35,35,1051,930,1216,710,710,1048,15,15,15,15,0,0,0,0,0,0,0,31,27,35,35,35,75897,38186,35323,379,2009,0,0,0,1262,1262,0,0,53,13,10,3,0,0,829,674,40,40,49,11,13,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,23,3237,0,0,0,0,2,11,0,1,1,0,0,3,0,Flareon
