ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Vulpix1,Vulpix,Rival (Lab),00:00:34.36,00:00:41.36,00:02:09.33,6,0,0,0,41,36,EMBER,TAIL WHIP,,,11,11,14,14,14,0,-1,0,0,0,0,0,11,7,14,14,14,9787,4845,2900,0,2042,0,0,0,72,72,0,0,2,2,1,1,0,0,21,21,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Vulpix1,Vulpix,Brock,00:03:29.60,00:03:58.41,00:15:07.36,11,0,0,3,58,41,EMBER,TAIL WHIP,,,17,17,23,23,23,0,0,0,0,0,0,0,17,17,23,23,23,56470,26785,27110,533,2042,1,0,0,766,766,0,0,58,13,6,7,2,0,460,333,37,37,31,3,9,0,0,0,0,0,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1375,0,0,0,0,1,13,0,1,1,0,0,1,0,Flareon
Vulpix1,Vulpix,Rival (Nugget Bridge),00:08:53.55,00:09:16.80,00:36:03.01,19,0,0,9,16,80,EMBER,TAIL WHIP,QUICK ATTACK,,28,28,37,37,37,0,-3,0,0,0,-2,0,47,11,37,37,37,131795,49116,78605,2032,2042,2,0,0,1481,1481,0,0,93,35,19,16,9,0,2201,1548,121,121,95,16,34,0,0,0,0,0,19,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,50,7744,0,0,0,0,4,13,0,1,1,1,0,1,0,Flareon
Vulpix1,Vulpix,Oddish Lass,00:11:44.82,00:11:59.91,00:46:45.59,22,0,0,11,59,91,EMBER,TAIL WHIP,QUICK ATTACK,ROAR,32,32,42,42,43,0,0,0,0,0,0,0,36,32,42,42,43,170373,58744,106035,3552,2042,2,0,0,1691,1691,0,0,134,45,29,16,9,0,3367,2366,227,227,131,17,49,0,0,0,0,0,30,0,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,71,11844,0,0,0,0,5,13,0,1,1,2,0,1,0,Flareon
Vulpix1,Vulpix,Rocket,00:12:33.16,00:12:47.62,00:49:54.35,23,0,0,12,47,62,EMBER,TAIL WHIP,QUICK ATTACK,ROAR,33,33,44,44,45,0,0,0,0,0,0,0,37,33,44,44,45,181689,66134,109961,3552,2042,2,0,0,1883,1883,0,0,141,46,30,16,9,0,3512,2469,275,275,138,18,53,0,0,0,0,0,30,0,8,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,73,12533,0,0,0,0,6,13,0,1,1,2,0,1,0,Flareon
Vulpix1,Vulpix,Rival (SS Anne),00:15:30.64,00:15:50.06,01:01:54.03,25,0,0,15,50,6,EMBER,BODY SLAM,QUICK ATTACK,DIG,37,36,48,48,49,0,-1,0,0,0,0,0,46,23,48,48,49,224857,83291,130547,8977,2042,4,0,0,2427,2427,0,0,206,52,36,16,9,0,4563,3100,362,362,160,31,63,0,0,0,0,0,36,0,10,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,87,16837,0,0,0,0,12,21,0,1,1,4,0,1,0,Flareon
Vulpix1,Vulpix,Misty,00:20:14.13,00:20:27.37,01:15:50.00,28,3,0,20,27,37,EMBER,BODY SLAM,QUICK ATTACK,DIG,41,40,54,54,54,0,0,0,0,0,0,0,46,40,54,54,54,275019,99232,158083,15506,2199,6,1,0,2816,2816,0,0,237,61,44,17,10,0,5658,3822,436,436,183,44,68,0,0,0,0,0,41,0,10,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,103,23184,0,0,0,0,12,21,0,1,1,5,0,1,3,Flareon
Vulpix1,Vulpix,Lt. Surge,00:21:10.25,00:21:22.43,01:19:27.11,28,3,0,21,22,43,EMBER,BODY SLAM,QUICK ATTACK,DIG,41,40,54,54,54,-1,0,0,0,0,0,0,30,40,54,54,54,288050,107015,162373,16464,2199,7,1,0,3110,3110,0,0,259,63,45,18,11,0,5745,3898,474,474,185,45,70,0,0,0,0,0,41,0,10,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,104,23916,0,0,0,0,12,21,0,1,1,5,0,1,3,Flareon
Vulpix1,Vulpix,RTG1 - Wrapping Lass,00:22:11.82,00:22:24.90,01:23:33.19,29,3,0,22,24,90,EMBER,BODY SLAM,QUICK ATTACK,DIG,42,42,56,56,56,0,0,0,0,0,0,0,47,47,56,56,56,302818,115314,166053,19253,2199,8,1,0,3301,3249,52,0,272,64,46,18,11,0,5951,4088,474,474,189,45,70,0,0,0,0,0,41,0,10,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,108,25164,0,0,0,0,12,21,0,1,1,5,0,1,3,Flareon
Vulpix1,Vulpix,RTG4 - Status Jr Trainer,00:23:33.31,00:23:47.03,01:28:57.55,30,3,0,23,47,3,EMBER,BODY SLAM,QUICK ATTACK,DIG,44,43,58,58,58,0,0,0,0,0,0,0,49,48,58,58,58,322294,118528,179988,21580,2199,9,1,0,3500,3249,251,0,292,68,50,18,11,0,6768,4580,551,551,203,52,79,0,0,0,0,0,43,0,10,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,116,28044,0,0,0,0,12,21,0,1,1,5,0,1,3,Flareon
