date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-20,11:08:31,NINTEN,Wartortle,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.56,44,0h0m44s,0,0,0,6,0:02,10.655,TACKLE,TAIL WHIP,BUBBLE,,0,73,2,1,1,5,5,4,0,3000,Jolteon, ,Water,Water,232,Wartortle2,Wartortle,Rival (Lab),00:00:33.91,00:00:44.56,00:02:23.00,6,0,0,0,44,56,TACKLE,TAIL WHIP,BUBBLE,,30,30,30,0,0,0,0,0,20,25,14,16,14,14,13,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,14,8,14,14,13,10549,4783,3769,0,1997,0,0,0,73,73,0,0,2,2,1,1,0,0,24,21,5,5,5,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
11-20,11:10:15,NINTEN,Wartortle,Bug Catcher,3,Viridian Forest,1,2:28.67,2:28,0h2m28s,0,1,1,8,0:09,12.565,TACKLE,TAIL WHIP,BUBBLE,,0,629,27,2,3,16,16,15,3,75,Flareon, ,Water,Water,344,Wartortle2,Wartortle,,00:02:16.11,00:02:28.67,00:09:14.33,8,0,0,2,28,67,TACKLE,TAIL WHIP,BUBBLE,,35,30,19,0,0,0,0,0,26,30,17,20,17,17,16,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-5,0,0,17,20,17,17,4,35242,21634,11275,336,1997,0,0,0,629,629,0,0,27,5,2,3,0,0,69,66,19,19,14,3,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,1,2,1,Flareon
11-20,11:10:42,NINTEN,Wartortle,Jr Trainer M,1,Pewter City - Gym,2,2:56.11,2:56,0h2m56s,0,1,1,10,0:11,14.358,TACKLE,TAIL WHIP,BUBBLE,,0,727,32,3,3,22,22,20,3,175,Flareon, ,Water,Water,678,Wartortle2,Wartortle,,00:02:41.75,00:02:56.11,00:11:02.38,10,0,0,2,56,11,TACKLE,TAIL WHIP,BUBBLE,,35,30,13,0,0,0,0,0,10,35,20,24,21,21,20,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,20,24,21,21,20,41727,23893,15204,633,1997,0,0,0,727,727,0,0,32,6,3,3,0,0,138,117,44,44,20,3,19,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,1,0,1,2,1,Flareon
11-20,11:11:02,NINTEN,Wartortle,Brock,1,Pewter City - Gym,2,3:15.20,3:15,0h3m15s,0,1,1,12,0:12,12.942,TACKLE,TAIL WHIP,BUBBLE,,0,731,33,4,3,28,25,23,3,355,Flareon, ,Water,Water,1138,Wartortle2,Wartortle,Brock,00:03:02.26,00:03:15.20,00:12:17.58,12,0,0,3,15,20,TACKLE,TAIL WHIP,BUBBLE,,35,30,10,0,0,0,0,0,29,40,24,28,24,24,23,235,340,455,220,220,325,15,15,15,15,0,-4,0,0,0,0,0,24,9,24,24,23,46247,24414,18842,994,1997,0,0,0,731,731,0,0,33,7,4,3,0,0,221,178,50,50,23,3,22,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,1,2,1,Flareon
11-20,11:11:40,NINTEN,Wartortle,Bug Catcher,4,Route 3,3,3:53.72,3:53,0h3m53s,0,1,1,13,0:14,18.424,TACKLE,TAIL WHIP,BUBBLE,,0,842,38,5,3,38,35,31,4,1543,Flareon, ,Water,Water,1473,Wartortle2,Wartortle,,00:03:35.30,00:03:53.72,00:14:50.22,13,0,0,3,53,72,TACKLE,TAIL WHIP,BUBBLE,,35,30,20,0,0,0,0,0,34,42,25,30,26,26,24,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-2,0,0,31,30,26,26,12,55391,28163,24237,994,1997,0,0,0,842,842,0,0,38,8,5,3,0,0,332,267,58,58,33,5,28,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,1,0,1,2,1,Flareon
11-20,11:12:00,NINTEN,Wartortle,Youngster Ben,1,Route 3,2,4:14.03,4:14,0h4m14s,0,1,1,14,0:16,16.893,TACKLE,TAIL WHIP,BUBBLE,,0,846,38,6,3,48,41,35,4,1643,Flareon, ,Water,Water,1751,Wartortle2,Wartortle,,00:03:57.14,00:04:14.03,00:16:10.41,14,0,0,4,14,3,TACKLE,TAIL WHIP,BUBBLE,,32,30,17,0,0,0,0,0,17,45,27,32,27,27,26,430,551,634,345,345,592,15,15,15,15,0,-1,0,0,0,0,0,30,21,27,27,26,60210,28477,28742,994,1997,0,0,0,846,846,0,0,38,9,6,3,0,0,402,326,78,78,39,5,32,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,1,0,1,2,1,Flareon
11-20,11:12:29,NINTEN,Wartortle,Bug Catcher,5,Route 3,4,4:42.72,4:42,0h4m42s,0,1,1,15,0:18,24.114,WATER GUN,TAIL WHIP,TACKLE,BUBBLE,0,850,39,7,3,58,51,42,4,1808,Flareon, ,Water,Water,2226,Wartortle2,Wartortle,,00:04:18.60,00:04:42.72,00:18:04.00,15,0,0,4,42,72,WATER GUN,TAIL WHIP,TACKLE,BUBBLE,24,30,28,12,0,0,0,0,34,48,29,34,29,29,27,610,661,804,435,435,752,15,15,15,15,0,0,0,0,-2,0,0,32,34,29,29,13,67009,28696,34970,1346,1997,0,0,0,850,850,0,0,39,10,7,3,0,0,536,438,84,84,48,8,36,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2091,0,0,0,0,1,13,0,1,1,1,1,2,1,Flareon
11-20,11:12:44,NINTEN,Wartortle,Bug Catcher,6,Route 3,2,4:57.80,4:57,0h4m57s,0,1,1,15,0:19,9.524,WATER GUN,TAIL WHIP,TACKLE,BUBBLE,0,858,40,8,3,62,55,44,4,1898,Flareon, ,Water,Water,2519,Wartortle2,Wartortle,,00:04:48.27,00:04:57.80,00:19:03.33,15,0,0,4,57,80,WATER GUN,TAIL WHIP,TACKLE,BUBBLE,20,30,28,12,0,0,0,0,34,48,29,34,29,29,27,705,711,894,480,480,827,15,15,15,15,0,0,0,0,-1,0,0,36,34,29,29,17,70582,29484,37755,1346,1997,0,0,0,858,858,0,0,40,11,8,3,0,0,631,503,84,84,52,8,37,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2384,0,0,0,0,1,13,0,1,1,1,1,2,1,Flareon
11-20,11:13:32,NINTEN,Wartortle,Hiker,1,Mt Moon - 1,3,5:45.61,5:45,0h5m45s,0,1,1,16,0:22,9.716,WATER GUN,MEGA PUNCH,BIDE,BUBBLE,0,1127,61,9,3,65,58,44,4,2008,Flareon, ,Water,Water,3116,Wartortle2,Wartortle,,00:05:35.90,00:05:45.61,00:22:12.23,16,0,0,5,45,61,WATER GUN,MEGA PUNCH,BIDE,BUBBLE,20,20,10,9,0,0,0,0,36,50,31,36,31,31,29,820,916,1254,570,570,937,15,15,15,15,0,0,0,0,0,0,0,34,36,31,31,29,81912,35485,40468,3962,1997,0,0,0,1127,1127,0,0,61,12,9,3,0,0,792,589,84,84,55,8,37,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2981,0,0,0,0,3,13,0,1,1,3,1,2,1,Flareon
11-20,11:14:04,NINTEN,Wartortle,Fossil Nerd,2,Mt Moon - 3,3,6:17.30,6:17,0h6m17s,0,1,1,18,0:24,19.546,WATER GUN,MEGA PUNCH,BIDE,BUBBLE,0,1248,61,10,3,73,66,49,4,2358,Flareon, ,Water,Water,3903,Wartortle2,Wartortle,,00:05:57.75,00:06:17.30,00:24:17.45,18,0,0,6,17,30,WATER GUN,MEGA PUNCH,BIDE,BUBBLE,14,19,10,8,0,0,0,0,33,56,34,40,34,34,32,980,1091,1449,725,725,1097,15,15,15,15,0,0,0,0,0,0,0,38,40,34,34,32,89434,37961,45514,3962,1997,0,0,0,1248,1248,0,0,61,13,10,3,0,0,906,698,93,93,62,10,42,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3768,0,0,0,0,3,13,0,1,1,3,1,2,1,Flareon
