ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Wartortle5,Wartortle,Rival (Lab),00:00:33.65,00:00:44.11,00:02:21.21,6,0,0,0,44,11,TACKLE,TAIL WHIP,BUBBLE,,14,16,14,14,13,0,0,0,0,0,0,0,14,16,14,14,13,10439,4737,3716,0,1986,0,0,0,71,71,0,0,4,2,1,1,0,0,24,21,10,10,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Wartortle5,Wartortle,Brock,00:02:58.34,00:03:07.47,00:11:47.34,12,0,0,3,7,47,TACKLE,TAIL WHIP,BUBBLE,,24,28,24,24,23,0,0,0,0,0,0,0,24,28,24,24,23,44412,24733,17010,683,1986,0,0,0,729,729,0,0,30,7,4,3,0,0,224,176,47,47,22,5,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
Wartortle5,Wartortle,Misty,00:07:04.33,00:07:25.29,00:28:46.54,20,0,0,7,25,29,WATER GUN,BIDE,BUBBLE,MEGA PUNCH,38,45,38,38,36,0,0,0,0,0,0,0,42,45,38,38,36,105572,42286,57151,4149,1986,0,0,0,1371,1371,0,0,61,16,13,3,0,0,1411,955,166,166,74,8,48,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6293,0,0,0,0,3,13,0,1,1,3,0,5,0,Flareon
Wartortle5,Wartortle,Rival (Nugget Bridge),00:07:51.65,00:08:10.49,00:31:45.14,21,0,0,8,10,49,BUBBLEBEAM,WATER GUN,BUBBLE,MEGA PUNCH,39,47,40,40,37,0,-2,0,0,0,0,0,48,23,40,40,37,116272,46569,62236,5481,1986,0,0,0,1473,1473,0,0,65,17,14,3,0,0,1690,1126,176,176,80,11,51,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7331,0,0,0,0,4,13,0,1,1,4,0,5,0,Flareon
Wartortle5,Wartortle,Oddish Lass,00:10:10.76,00:10:20.84,00:40:19.18,25,0,0,10,20,84,BUBBLEBEAM,WATER GUN,BITE,MEGA PUNCH,47,56,47,47,44,0,0,0,0,0,0,0,52,56,47,47,44,147116,53334,86315,5481,1986,0,0,0,1589,1589,0,0,91,27,24,3,0,0,3623,2020,186,186,104,11,54,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12032,0,0,0,0,5,13,0,1,1,5,0,5,0,Flareon
Wartortle5,Wartortle,Rocket,00:10:46.38,00:10:56.52,00:42:40.22,25,0,0,10,56,52,BUBBLEBEAM,WATER GUN,BITE,MEGA PUNCH,47,56,47,47,44,0,0,0,0,0,0,0,52,56,47,47,44,155580,58908,89205,5481,1986,0,0,0,1727,1727,0,0,99,28,25,3,0,0,3782,2123,201,201,107,12,56,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12721,0,0,0,0,6,13,0,1,1,5,0,5,0,Flareon
Wartortle5,Wartortle,Rival (SS Anne),00:12:43.44,00:12:57.51,00:50:36.34,27,0,0,12,57,51,BUBBLEBEAM,WATER GUN,BITE,DIG,51,60,51,51,48,0,0,0,0,0,0,0,57,60,51,51,48,184152,71526,102366,8274,1986,0,0,0,2153,2153,0,0,131,33,30,3,0,0,4763,2701,216,216,121,16,58,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16755,0,0,0,0,11,19,0,1,1,6,0,5,0,Flareon
Wartortle5,Wartortle,Lt. Surge,00:13:39.69,00:13:48.23,00:53:56.54,28,0,0,13,48,23,BUBBLEBEAM,WATER GUN,BITE,DIG,53,62,53,53,50,-1,0,0,0,0,0,0,38,62,53,53,50,196172,78660,104941,10585,1986,1,0,0,2336,2336,0,0,143,34,31,3,0,0,4841,2777,244,244,123,16,60,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,17487,0,0,0,0,11,19,0,1,1,7,0,5,0,Flareon
Wartortle5,Wartortle,RTG1 - Wrapping Lass,00:14:33.23,00:14:47.13,00:57:48.54,28,0,0,14,47,13,BUBBLEBEAM,WATER GUN,BITE,DIG,53,62,53,53,50,0,0,0,0,0,0,0,59,69,53,53,50,210092,86650,108823,12633,1986,1,0,0,2534,2481,53,0,157,35,32,3,0,0,5087,2967,244,244,127,16,60,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,18735,0,0,0,0,11,19,0,1,1,7,0,5,0,Flareon
Wartortle5,Wartortle,RTG4 - Status Jr Trainer,00:15:39.28,00:15:50.32,01:01:58.17,29,0,0,15,50,32,BUBBLEBEAM,WATER GUN,BITE,DIG,54,64,55,55,51,0,0,0,0,0,0,0,60,72,55,55,51,225055,89820,119327,13922,1986,1,0,0,2736,2481,255,0,170,39,36,3,0,0,5779,3455,272,272,140,20,63,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,21615,0,0,0,0,11,19,0,1,1,7,0,5,0,Flareon
