date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-20,16:50:09,NINTEN,Wartortle,Rival1-Lab,1,Pallet Town - Oak's Lab,1,45.08,45,0h0m45s,0,0,0,6,0:02,11.285,TACKLE,TAIL WHIP,BUBBLE,,0,71,3,1,1,6,6,5,0,3000,Jolteon, ,Water,Water,232,Wartortle9,Wartortle,Rival (Lab),00:00:33.79,00:00:45.08,00:02:25.11,6,0,0,0,45,8,TACKLE,TAIL WHIP,BUBBLE,,35,30,24,0,0,0,0,0,10,25,14,16,14,14,13,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,10,14,14,13,10672,4767,3916,0,1989,0,0,0,71,71,0,0,3,2,1,1,0,0,22,21,15,15,6,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,9,0,Jolteon
11-20,16:51:53,NINTEN,Wartortle,Bug Catcher,3,Viridian Forest,1,2:29.24,2:29,0h2m29s,0,0,0,8,0:09,15.662,TACKLE,TAIL WHIP,BUBBLE,,0,627,23,2,3,15,15,14,3,75,Flareon, ,Water,Water,344,Wartortle9,Wartortle,,00:02:13.58,00:02:29.24,00:09:16.50,8,0,0,2,29,24,TACKLE,TAIL WHIP,BUBBLE,,28,30,28,0,0,0,0,0,18,30,17,20,17,17,16,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-3,0,0,17,20,17,17,6,35371,21650,11421,311,1989,0,0,0,627,627,0,0,23,5,2,3,0,0,66,64,33,33,15,2,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-20,16:52:18,NINTEN,Wartortle,Jr Trainer M,1,Pewter City - Gym,2,2:54.30,2:54,0h2m54s,0,0,0,10,0:10,12.805,TACKLE,TAIL WHIP,BUBBLE,,0,721,23,3,3,20,20,17,3,175,Flareon, ,Water,Water,678,Wartortle9,Wartortle,,00:02:41.50,00:02:54.30,00:10:55.31,10,0,0,2,54,30,TACKLE,TAIL WHIP,BUBBLE,,28,30,23,0,0,0,0,0,20,35,20,24,21,21,20,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,20,24,21,21,20,41292,23688,14975,640,1989,0,0,0,721,721,0,0,23,6,3,3,0,0,135,115,48,48,20,2,15,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-20,16:52:37,NINTEN,Wartortle,Brock,1,Pewter City - Gym,2,3:13.60,3:13,0h3m13s,0,0,0,12,0:12,9.287,TACKLE,TAIL WHIP,BUBBLE,,0,725,24,4,3,23,23,18,3,355,Flareon, ,Water,Water,1138,Wartortle9,Wartortle,Brock,00:03:04.32,00:03:13.60,00:12:11.18,12,0,0,3,13,60,TACKLE,TAIL WHIP,BUBBLE,,28,30,20,0,0,0,0,0,40,40,24,28,24,24,23,235,340,455,220,220,325,15,15,15,15,0,0,0,0,0,0,0,24,28,24,24,23,45839,24205,17737,1908,1989,0,0,0,725,725,0,0,24,7,4,3,0,0,216,176,48,48,23,2,15,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-20,16:53:09,NINTEN,Wartortle,Bug Catcher,4,Route 3,3,3:45.51,3:45,0h3m45s,0,0,0,13,0:14,18.801,TACKLE,TAIL WHIP,BUBBLE,,0,798,25,5,3,32,32,26,4,1543,Flareon, ,Water,Water,1473,Wartortle9,Wartortle,,00:03:26.71,00:03:45.51,00:14:17.38,13,0,0,3,45,51,TACKLE,TAIL WHIP,BUBBLE,,28,30,11,0,0,0,0,0,31,42,25,30,26,26,24,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-3,0,0,28,30,26,26,9,53419,26314,23208,1908,1989,0,0,0,798,798,0,0,25,8,5,3,0,0,327,265,59,59,32,2,23,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-20,16:53:26,NINTEN,Wartortle,Youngster Ben,1,Route 3,2,4:02.69,4:02,0h4m2s,0,0,0,14,0:15,13.871,TACKLE,TAIL WHIP,BUBBLE,,0,802,25,6,3,39,39,31,4,1643,Flareon, ,Water,Water,1751,Wartortle9,Wartortle,,00:03:48.82,00:04:02.69,00:15:25.29,14,0,0,4,2,69,TACKLE,TAIL WHIP,BUBBLE,,28,30,4,0,0,0,0,0,12,45,27,32,27,27,26,430,551,634,345,345,592,15,15,15,15,0,0,0,0,0,0,0,30,32,27,27,26,57490,26602,26991,1908,1989,0,0,0,802,802,0,0,25,9,6,3,0,0,398,324,81,81,39,3,27,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-20,16:53:53,NINTEN,Wartortle,Bug Catcher,5,Route 3,4,4:29.32,4:29,0h4m29s,0,0,0,15,0:17,22.028,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,806,26,7,3,49,49,37,4,1808,Flareon, ,Water,Water,2226,Wartortle9,Wartortle,,00:04:07.29,00:04:29.32,00:17:10.34,15,0,0,4,29,32,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,23,30,1,23,0,0,0,0,29,48,29,34,29,29,27,610,661,804,435,435,752,15,15,15,15,0,0,0,0,0,0,0,32,34,29,29,27,63795,26818,32714,2274,1989,0,0,0,806,806,0,0,26,10,7,3,0,0,567,436,87,87,49,3,30,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2091,0,0,0,0,1,13,0,1,1,1,0,9,0,Flareon
11-20,16:54:05,NINTEN,Wartortle,Bug Catcher,6,Route 3,2,4:41.90,4:41,0h4m41s,0,0,0,15,0:18,8.262,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,0,814,27,8,3,52,52,38,4,1898,Flareon, ,Water,Water,2519,Wartortle9,Wartortle,,00:04:33.63,00:04:41.90,00:18:00.09,15,0,0,4,41,90,WATER GUN,TAIL WHIP,BUBBLE,TACKLE,20,30,1,23,0,0,0,0,29,48,29,34,29,29,27,705,711,894,480,480,827,15,15,15,15,0,0,0,0,-1,0,0,36,34,29,29,17,66770,27314,35193,2274,1989,0,0,0,814,814,0,0,27,11,8,3,0,0,653,501,87,87,52,3,31,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2384,0,0,0,0,1,13,0,1,1,1,0,9,0,Flareon
11-20,16:54:53,NINTEN,Wartortle,Hiker,1,Mt Moon - 1,3,5:29.45,5:29,0h5m29s,0,0,0,16,0:21,10.195,WATER GUN,MEGA PUNCH,BUBBLE,BIDE,0,1085,40,9,3,55,55,38,4,2008,Flareon, ,Water,Water,3116,Wartortle9,Wartortle,,00:05:19.25,00:05:29.45,00:21:08.10,16,0,0,5,29,45,WATER GUN,MEGA PUNCH,BUBBLE,BIDE,17,20,1,10,0,0,0,0,31,50,31,36,31,31,29,820,916,1254,570,570,937,15,15,15,15,0,0,0,0,0,0,0,34,36,31,31,29,78051,33058,38019,4985,1989,0,0,0,1085,1085,0,0,40,12,9,3,0,0,956,587,87,87,55,3,31,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2981,0,0,0,0,3,13,0,1,1,3,0,9,0,Flareon
11-20,16:55:23,NINTEN,Wartortle,Fossil Nerd,2,Mt Moon - 3,3,5:59.16,5:59,0h5m59s,0,0,0,18,0:23,17.612,WATER GUN,MEGA PUNCH,BUBBLE,BIDE,0,1206,41,10,3,62,62,42,4,2358,Flareon,Poisoned,Water,Water,3903,Wartortle9,Wartortle,,00:05:41.55,00:05:59.16,00:23:05.35,18,0,0,5,59,16,WATER GUN,MEGA PUNCH,BUBBLE,BIDE,14,16,1,10,0,0,0,0,26,56,34,40,34,34,32,980,1091,1449,725,725,1097,15,15,15,15,0,0,0,0,0,0,0,38,40,34,34,32,85096,35523,42599,4985,1989,0,0,0,1206,1206,0,0,41,13,10,3,0,0,1100,696,98,98,62,4,34,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3768,0,0,0,0,3,13,0,1,1,3,0,9,0,Flareon
