date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-09,16:15:19,NINTEN,Weepinbell,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.77,44,0h0m44s,0,0,0,6,0:02,11.175,VINE WHIP,GROWTH,WRAP,,0,71,7,1,1,10,3,0,0,3000,Jolteon, ,Grass,Poison,232,Weepinbell13,Weepinbell,Rival (Lab),00:00:33.60,00:00:44.77,00:02:24.46,6,0,0,0,44,77,VINE WHIP,GROWTH,WRAP,,9,40,18,0,0,0,0,0,25,25,17,12,17,17,13,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,17,12,17,17,13,10599,4762,3896,0,1941,0,0,0,71,71,0,0,7,2,1,1,0,0,24,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,0,Jolteon
12-09,16:16:58,NINTEN,Weepinbell,Bug Catcher,3,Viridian Forest,1,2:23.96,2:23,0h2m23s,0,0,0,8,0:08,15.202,VINE WHIP,GROWTH,WRAP,,0,621,30,2,3,22,11,7,2,775,Flareon, ,Grass,Poison,344,Weepinbell13,Weepinbell,,00:02:08.76,00:02:23.96,00:08:56.53,8,0,0,2,23,96,VINE WHIP,GROWTH,WRAP,,5,38,19,0,0,0,0,0,15,30,21,15,21,21,16,100,85,85,85,85,100,15,15,15,15,0,0,2,2,-3,0,0,21,15,42,42,6,34126,21094,11091,0,1941,0,0,0,621,621,0,0,30,5,2,3,0,0,70,66,15,15,9,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,9,0,1,1,0,0,13,0,Flareon
12-09,16:17:22,NINTEN,Weepinbell,Brock,1,Pewter City - Gym,2,2:47.29,2:47,0h2m47s,0,0,0,11,0:10,10.702,VINE WHIP,GROWTH,WRAP,,0,727,55,3,3,26,13,9,2,875,Flareon, ,Grass,Poison,804,Weepinbell13,Weepinbell,Brock,00:02:36.59,00:02:47.29,00:10:28.56,11,0,0,2,47,29,VINE WHIP,GROWTH,WRAP,,3,38,19,0,0,0,0,0,19,38,28,19,27,27,20,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,28,19,27,27,20,39649,23603,14105,0,1941,0,0,0,727,727,0,0,55,6,3,3,0,0,160,127,19,19,11,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,9,0,1,1,0,0,13,0,Flareon
12-09,16:18:02,NINTEN,Weepinbell,Bug Catcher,4,Route 3,3,3:27.55,3:27,0h3m27s,0,0,0,12,0:13,20.245,VINE WHIP,GROWTH,WRAP,,0,838,56,4,3,46,24,11,3,2063,Flareon, ,Grass,Poison,1139,Weepinbell13,Weepinbell,,00:03:07.30,00:03:27.55,00:13:08.11,12,0,0,3,27,55,VINE WHIP,GROWTH,WRAP,,10,40,9,0,0,0,0,0,38,41,30,21,29,29,22,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,33,21,29,29,22,49204,27353,19910,0,1941,0,0,0,838,838,0,0,56,7,4,3,0,0,250,216,22,22,20,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,9,0,1,1,0,0,13,0,Flareon
12-09,16:18:19,NINTEN,Weepinbell,Youngster Ben,1,Route 3,2,3:44.28,3:44,0h3m44s,0,0,0,13,0:14,13.345,VINE WHIP,GROWTH,WRAP,,0,842,56,5,3,55,30,14,3,2163,Flareon, ,Grass,Poison,1417,Weepinbell13,Weepinbell,,00:03:30.94,00:03:44.28,00:14:14.20,13,0,0,3,44,28,VINE WHIP,GROWTH,WRAP,,7,40,6,0,0,0,0,0,41,44,32,22,31,31,23,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,40,14,31,31,23,53173,27646,23586,0,1941,0,0,0,842,842,0,0,56,8,5,3,0,0,323,275,22,22,25,7,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,9,0,1,1,0,0,13,0,Flareon
12-09,16:18:33,NINTEN,Weepinbell,Lass,2,Route 3,2,3:58.95,3:58,0h3m58s,0,0,0,14,0:15,10.779,VINE WHIP,GROWTH,WRAP,,0,848,58,6,3,62,34,15,3,2328,Flareon, ,Grass,Poison,1665,Weepinbell13,Weepinbell,,00:03:48.17,00:03:58.95,00:15:12.13,14,0,0,3,58,95,VINE WHIP,GROWTH,WRAP,,5,40,4,0,0,0,0,0,38,47,35,24,33,33,25,446,534,599,335,335,579,15,15,15,15,0,0,0,0,0,0,0,39,24,33,33,25,56646,28052,26653,0,1941,0,0,0,848,848,0,0,58,9,6,3,0,0,393,332,28,28,29,7,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,9,0,1,1,0,0,13,0,Flareon
12-09,16:18:54,NINTEN,Weepinbell,Bug Catcher,6,Route 3,2,4:20.17,4:20,0h4m20s,0,0,0,14,0:16,13.222,VINE WHIP,GROWTH,WRAP,,0,908,65,7,3,74,39,15,3,2478,Flareon, ,Grass,Poison,1958,Weepinbell13,Weepinbell,,00:04:06.95,00:04:20.17,00:16:36.05,14,0,0,4,20,17,VINE WHIP,GROWTH,WRAP,,4,40,0,0,0,0,0,0,38,47,35,24,33,33,25,541,584,689,380,380,654,15,15,15,15,0,0,0,0,0,0,0,39,24,33,33,25,61678,29464,30273,0,1941,0,0,0,908,908,0,0,65,10,7,3,0,0,467,397,28,28,34,7,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,9,0,1,1,0,0,13,0,Flareon
12-09,16:19:31,NINTEN,Weepinbell,Hiker,1,Mt Moon - 1,3,4:57.16,4:57,0h4m57s,0,0,0,16,0:19,11.468,VINE WHIP,GROWTH,WRAP,POISONPOWDER,0,1149,73,8,3,77,42,15,4,2588,Flareon, ,Grass,Poison,2555,Weepinbell13,Weepinbell,,00:04:45.68,00:04:57.16,00:19:02.24,16,0,0,4,57,16,VINE WHIP,GROWTH,WRAP,POISONPOWDER,7,40,20,35,0,0,0,0,52,52,39,27,37,37,28,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,43,27,37,37,28,70457,35125,33391,0,1941,0,0,0,1149,1149,0,0,73,11,8,3,0,0,742,483,28,28,37,7,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2420,0,0,0,0,2,9,0,1,1,1,0,13,0,Flareon
12-09,16:20:05,NINTEN,Weepinbell,Fossil Nerd,2,Mt Moon - 3,3,5:30.70,5:30,0h5m30s,0,0,0,17,0:21,21.591,VINE WHIP,WRAP,GROWTH,POISONPOWDER,0,1268,73,9,3,95,49,17,4,2938,Flareon, ,Grass,Poison,3342,Weepinbell13,Weepinbell,,00:05:09.11,00:05:30.70,00:21:15.07,17,0,0,5,30,70,VINE WHIP,WRAP,GROWTH,POISONPOWDER,5,15,40,35,0,0,0,0,52,55,42,28,40,40,29,816,964,1244,625,625,924,15,15,15,15,0,-2,0,0,0,0,0,47,14,40,40,29,78420,37545,38934,0,1941,0,0,0,1268,1268,0,0,73,12,9,3,0,0,868,592,31,31,44,7,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3207,0,0,0,0,2,9,0,1,1,1,0,13,0,Flareon
12-09,16:20:43,NINTEN,Weepinbell,Rocket,42,Mt Moon - 3,3,6:08.40,6:08,0h6m8s,0,0,0,18,0:23,29.836,VINE WHIP,WRAP,GROWTH,SLEEP POWDER,0,1284,75,10,3,117,60,23,5,3238,Flareon, ,Grass,Poison,4077,Weepinbell13,Weepinbell,,00:05:38.55,00:06:08.40,00:23:44.32,18,0,0,6,8,40,VINE WHIP,WRAP,GROWTH,SLEEP POWDER,4,5,40,15,0,0,0,0,24,58,44,30,42,42,31,931,1134,1418,765,765,1104,15,15,15,15,-1,0,0,0,0,0,0,32,30,42,42,31,87385,39007,46437,0,1941,0,0,0,1284,1284,0,0,75,13,10,3,0,0,982,702,62,62,52,10,18,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3942,0,0,0,0,2,9,0,1,1,1,0,13,0,Flareon
