ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Weepinbell4,Weepinbell,Rival (Lab),00:00:33.72,00:00:42.66,00:02:15.44,6,0,0,0,42,66,VINE WHIP,GROWTH,WRAP,,17,12,17,17,13,0,0,0,0,0,0,0,17,12,17,17,13,10094,4759,3357,0,1978,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,11,11,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Weepinbell4,Weepinbell,Brock,00:02:46.83,00:02:55.45,00:11:00.24,11,0,0,2,55,45,VINE WHIP,GROWTH,WRAP,,28,19,27,27,20,0,0,0,0,0,0,0,28,19,27,27,20,41574,23607,15316,673,1978,0,0,0,727,727,0,0,31,6,3,3,0,0,159,128,43,43,14,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,8,0,1,1,0,0,4,0,Flareon
Weepinbell4,Weepinbell,Misty,00:06:56.04,00:07:10.35,00:27:48.11,20,0,0,7,10,35,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,48,33,46,46,34,0,0,2,2,0,0,0,54,33,92,92,34,102041,43989,54575,1499,1978,0,0,0,1441,1441,0,0,45,15,12,3,0,0,1181,852,127,127,54,15,32,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,5732,0,0,0,0,2,8,0,1,1,2,0,4,0,Flareon
Weepinbell4,Weepinbell,Rival (Nugget Bridge),00:07:34.28,00:07:55.94,00:30:48.12,21,0,0,7,55,94,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,50,34,48,48,36,0,-1,0,0,0,0,0,56,22,48,48,36,112842,48505,60319,2040,1978,1,0,0,1547,1547,0,0,50,16,13,3,0,0,1427,1023,138,138,61,18,34,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,6770,0,0,0,0,3,8,0,1,1,2,0,4,0,Flareon
Weepinbell4,Weepinbell,Oddish Lass,00:10:51.17,00:11:11.04,00:43:38.46,24,0,0,11,11,4,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,58,39,55,55,41,0,0,0,0,0,0,0,65,39,55,55,41,159076,57967,96256,2875,1978,1,0,0,1759,1759,0,0,74,26,23,3,0,0,3029,1919,202,202,105,25,45,0,0,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,52,11471,0,0,0,0,4,8,0,1,1,2,0,4,0,Flareon
Weepinbell4,Weepinbell,Rocket,00:11:44.79,00:11:58.60,00:46:46.53,25,0,0,11,58,60,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,60,41,57,57,43,0,0,0,0,0,0,0,67,41,57,57,43,170363,65495,100015,2875,1978,1,0,0,1951,1951,0,0,82,27,24,3,0,0,3149,2022,233,233,109,27,47,0,0,0,0,0,12,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,54,12160,0,0,0,0,5,8,0,1,1,2,0,4,0,Flareon
Weepinbell4,Weepinbell,Rival (SS Anne),00:13:44.13,00:14:03.90,00:55:01.30,27,0,0,14,3,90,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,65,44,62,62,46,0,0,0,0,0,0,0,73,44,62,62,46,200040,75331,116945,5786,1978,3,0,0,2269,2269,0,0,106,31,28,3,0,0,3827,2514,269,269,129,32,56,0,0,0,0,0,14,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,65,15381,0,0,0,0,7,16,0,1,1,2,0,4,0,Flareon
Weepinbell4,Weepinbell,Lt. Surge,00:14:54.12,00:15:09.57,00:59:21.08,27,0,0,15,9,57,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,65,44,62,62,46,-2,0,3,3,0,0,0,36,44,155,155,46,215618,82308,121183,10149,1978,4,0,0,2452,2452,0,0,121,32,29,3,0,0,3920,2590,269,269,133,32,58,0,0,0,0,0,14,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,66,16113,0,0,0,0,7,16,0,1,1,4,0,4,0,Flareon
Weepinbell4,Weepinbell,RTG1 - Wrapping Lass,00:15:58.87,00:16:19.32,01:03:56.12,28,0,0,16,19,32,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,68,45,64,64,48,0,0,0,0,0,0,0,76,50,64,64,48,232122,91013,126620,12511,1978,5,0,0,2651,2597,54,0,137,33,30,3,0,0,4131,2780,269,269,142,32,58,0,0,0,0,0,14,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,70,17361,0,0,0,0,7,16,0,1,1,4,0,4,0,Flareon
Weepinbell4,Weepinbell,RTG4 - Status Jr Trainer,00:17:13.87,00:17:24.34,01:08:12.39,30,0,0,17,24,34,VINE WHIP,ACID,GROWTH,SLEEP POWDER,72,48,69,69,51,0,0,0,0,0,0,0,81,54,69,69,51,247509,94569,136269,14693,1978,5,0,0,2871,2597,274,0,162,37,34,3,0,0,4854,3268,294,294,153,32,61,0,0,0,0,0,16,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,78,20241,0,0,0,0,7,16,0,1,1,5,0,4,0,Flareon
