ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Weepinbell7,Weepinbell,Rival (Lab),00:00:33.93,00:00:43.25,00:02:18.10,6,0,0,0,43,25,VINE WHIP,GROWTH,WRAP,,17,12,17,17,13,0,-1,0,0,0,0,0,17,7,17,17,13,10235,4808,3454,0,1973,0,0,0,72,72,0,0,2,2,1,1,0,0,26,21,10,10,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Weepinbell7,Weepinbell,Brock,00:02:36.26,00:02:47.33,00:10:28.32,11,0,0,2,47,33,VINE WHIP,GROWTH,WRAP,,28,19,27,27,20,0,0,0,0,0,0,0,28,19,27,27,20,39657,23769,13915,0,1973,0,0,0,736,736,0,0,27,6,3,3,0,0,150,124,31,31,13,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,11,0,1,1,0,1,7,1,Flareon
Weepinbell7,Weepinbell,Misty,00:06:53.67,00:07:08.05,00:27:39.36,20,0,0,7,8,5,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,48,33,46,46,34,0,0,2,2,0,0,0,54,33,92,92,34,101521,44211,54599,738,1973,0,0,0,1480,1480,0,0,50,15,12,3,0,0,1145,848,128,128,58,16,36,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5732,0,0,0,0,2,11,0,1,1,2,1,7,1,Flareon
Weepinbell7,Weepinbell,Rival (Nugget Bridge),00:07:28.66,00:07:49.73,00:30:24.02,21,0,0,7,49,73,VINE WHIP,GROWTH,WRAP,SLEEP POWDER,50,34,48,48,36,0,0,0,0,0,0,0,56,34,48,48,36,111387,48471,60205,738,1973,0,0,0,1584,1584,0,0,54,16,13,3,0,0,1367,1019,143,143,66,16,37,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6770,0,0,0,0,3,11,0,1,1,2,1,7,1,Flareon
Weepinbell7,Weepinbell,Oddish Lass,00:10:36.60,00:10:51.04,00:42:19.48,24,0,0,10,51,4,WRAP,VINE WHIP,GROWTH,SLEEP POWDER,58,39,55,55,41,0,0,0,0,0,0,0,65,39,55,55,41,154333,58060,92908,1392,1973,0,0,0,1798,1798,0,0,99,26,23,3,0,0,2953,1919,204,204,107,19,46,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11471,0,0,0,0,4,11,0,1,1,2,1,7,1,Flareon
Weepinbell7,Weepinbell,Rocket,00:11:16.96,00:11:28.28,00:44:46.58,25,0,0,11,28,28,WRAP,VINE WHIP,GROWTH,SLEEP POWDER,60,41,57,57,43,0,0,0,0,0,0,0,67,41,57,57,43,163163,63717,96081,1392,1973,0,0,0,1937,1937,0,0,107,27,24,3,0,0,3069,2022,211,211,111,19,47,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12160,0,0,0,0,5,11,0,1,1,2,1,7,1,Flareon
Weepinbell7,Weepinbell,Rival (SS Anne),00:12:56.26,00:13:14.78,00:51:47.02,27,0,0,13,14,78,WRAP,VINE WHIP,GROWTH,SLEEP POWDER,65,44,62,62,46,0,0,0,0,0,0,0,73,44,62,62,46,188367,73209,110989,2196,1973,0,0,0,2249,2249,0,0,122,31,28,3,0,0,3750,2514,225,225,130,21,51,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,15381,0,0,0,0,7,19,0,1,1,2,1,7,1,Flareon
Weepinbell7,Weepinbell,Lt. Surge,00:14:09.50,00:14:17.24,00:55:53.31,30,0,0,14,17,24,ACID,VINE WHIP,GROWTH,SLEEP POWDER,72,48,68,68,51,0,0,0,0,0,0,0,81,48,68,68,51,203156,80246,113395,7542,1973,1,0,0,2428,2428,0,0,130,32,29,3,0,0,3868,2590,225,225,134,23,51,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16113,0,0,0,0,7,19,0,1,1,5,1,7,1,Flareon
Weepinbell7,Weepinbell,RTG1 - Wrapping Lass,00:15:01.33,00:15:13.69,00:59:35.54,30,0,0,15,13,69,ACID,VINE WHIP,GROWTH,SLEEP POWDER,72,48,68,68,51,0,0,0,0,0,0,0,81,54,68,68,51,216499,87343,116900,10283,1973,1,0,0,2611,2561,50,0,152,33,30,3,0,0,4173,2780,225,225,139,23,51,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,17361,0,0,0,0,7,19,0,1,1,5,1,7,1,Flareon
Weepinbell7,Weepinbell,RTG4 - Status Jr Trainer,00:16:11.91,00:16:24.47,01:04:15.18,31,0,0,16,24,47,ACID,VINE WHIP,GROWTH,SLEEP POWDER,75,50,71,71,53,-2,0,0,0,0,0,0,41,70,71,71,1,233263,92312,128008,10970,1973,1,0,0,2848,2570,278,0,176,37,34,3,0,0,4914,3270,277,277,152,24,59,0,0,0,0,0,13,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,78,20241,0,0,0,0,7,19,0,1,1,5,1,7,1,Flareon
