ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Wooper3,Wooper,Rival (Lab),00:00:34.99,00:00:45.92,00:02:28.20,6,0,0,0,45,92,WATER GUN,TAIL WHIP,,,12,12,9,9,8,0,-1,0,0,0,0,0,12,7,9,9,8,10870,5048,3824,0,1998,0,0,0,74,74,0,0,2,2,1,1,0,0,25,21,20,20,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Wooper3,Wooper,Brock,00:06:06.87,00:06:17.09,00:24:15.22,12,0,0,6,17,9,WATER GUN,TAIL WHIP,SLAM,,20,20,15,15,13,0,0,0,0,0,0,0,20,20,15,15,13,89292,38634,46171,2489,1998,1,0,0,1178,1178,0,0,81,23,6,17,6,0,529,450,115,115,57,9,40,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1740,0,0,0,0,2,13,0,1,1,1,0,3,0,Flareon
Wooper3,Wooper,Rival (Nugget Bridge),00:17:17.42,00:17:43.99,01:01:49.06,21,4,0,17,43,99,SLAM,TAIL WHIP,WATER GUN,AMNESIA,32,33,24,24,20,0,-2,2,2,0,-2,0,56,16,48,48,20,224522,72870,143328,6168,2156,4,1,0,2295,2295,0,0,152,51,22,29,15,2,2536,1912,687,632,162,50,142,0,0,0,0,0,5,0,8,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,6,60,9797,0,0,0,0,4,13,0,1,1,2,3,3,7,Flareon
Wooper3,Wooper,Oddish Lass,00:22:52.42,00:23:05.24,01:20:21.59,24,6,0,23,5,24,SLAM,TAIL WHIP,WATER GUN,AMNESIA,37,37,27,27,23,0,0,0,0,0,0,0,41,37,27,27,23,291301,89029,191122,8836,2314,5,2,0,2727,2727,0,0,215,64,35,29,15,2,4595,2934,967,878,197,70,182,0,0,0,0,0,6,0,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,86,15356,0,0,0,0,5,19,0,1,1,2,4,3,10,Flareon
Wooper3,Wooper,Rocket,00:23:45.00,00:24:00.46,01:24:00.23,25,6,0,24,0,46,SLAM,TAIL WHIP,WATER GUN,AMNESIA,39,39,28,28,24,0,0,4,4,0,0,0,43,39,84,84,24,304405,97354,195280,9457,2314,6,2,0,2936,2936,0,0,232,65,36,29,15,2,4758,3037,990,901,201,70,186,0,0,0,0,0,6,0,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,88,16045,0,0,0,0,6,19,0,1,1,2,4,3,10,Flareon
Wooper3,Wooper,Misty,00:24:26.63,00:24:49.28,01:27:13.42,25,6,0,24,49,28,DIG,SLAM,WATER GUN,AMNESIA,39,39,28,28,24,0,0,6,6,0,0,0,60,39,112,112,24,316004,100607,201602,11481,2314,7,2,0,3012,3012,0,0,242,66,37,29,15,2,4880,3137,1018,929,205,72,191,0,0,0,0,0,6,0,12,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,90,17384,0,0,0,0,6,19,0,1,1,3,4,3,10,Flareon
Wooper3,Wooper,Rival (SS Anne),00:27:41.42,00:27:59.71,01:39:44.54,27,6,0,27,59,71,BUBBLEBEAM,DIG,BODY SLAM,AMNESIA,41,42,30,30,25,0,0,0,0,0,0,0,46,42,30,30,25,361076,116617,223629,18516,2314,8,2,0,3520,3520,0,0,277,72,43,29,15,2,6083,3768,1102,1013,220,80,206,0,0,0,0,0,7,0,13,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,104,21688,0,0,0,0,12,27,0,1,1,5,4,3,10,Flareon
Wooper3,Wooper,Lt. Surge,00:28:48.93,00:28:55.86,01:43:26.48,28,6,0,28,55,86,BUBBLEBEAM,DIG,BODY SLAM,AMNESIA,43,43,31,31,26,0,0,0,0,0,0,0,48,43,31,31,26,374390,123528,225823,22725,2314,9,2,0,3701,3701,0,0,287,73,44,29,15,2,6163,3844,1102,1013,221,80,207,0,0,0,0,0,7,0,13,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,105,22420,0,0,0,0,12,27,0,1,1,6,4,3,10,Flareon
Wooper3,Wooper,RTG1 - Wrapping Lass,00:29:47.36,00:30:02.75,01:47:50.23,28,6,0,30,2,75,BUBBLEBEAM,DIG,BODY SLAM,AMNESIA,43,43,31,31,26,0,0,0,0,0,0,0,48,48,31,31,26,390205,131891,230473,25527,2314,10,2,0,3891,3839,52,0,308,74,45,29,15,2,6474,4034,1102,1013,225,81,207,0,0,0,0,0,7,0,13,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,109,23668,0,0,0,0,12,27,0,1,1,6,4,3,10,Flareon
Wooper3,Wooper,RTG4 - Status Jr Trainer,00:31:16.93,00:31:26.25,01:53:20.09,29,6,0,31,26,25,BUBBLEBEAM,DIG,BODY SLAM,AMNESIA,45,45,32,32,27,0,0,0,0,0,0,0,50,50,32,32,27,409991,135727,243864,28086,2314,12,2,0,4090,3839,251,0,324,79,49,30,16,3,7153,4522,1163,1074,237,86,214,0,0,0,0,0,7,0,14,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,117,26548,0,0,0,0,12,27,0,1,1,6,4,3,10,Flareon
Wooper3,Wooper,RTG6 - Finisher,00:32:05.43,00:32:24.20,01:57:09.10,30,6,0,32,24,20,BUBBLEBEAM,DIG,BODY SLAM,AMNESIA,46,47,34,34,28,-1,0,0,0,0,-1,0,37,65,34,34,1,423732,140060,251814,29544,2314,14,2,0,4257,3839,418,0,348,81,51,30,16,3,7828,4845,1206,1117,246,87,220,0,0,0,0,0,7,0,14,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,9,4,4,1,0,0,0,0,0,0,8,123,28788,0,0,0,0,12,27,0,1,1,6,4,3,10,Flareon
Wooper3,Wooper,Rival (Pokemon Tower),00:36:12.34,00:36:38.22,02:13:52.53,32,6,0,36,38,22,BUBBLEBEAM,EARTHQUAKE,ICE BEAM,AMNESIA,50,50,38,38,30,0,-1,2,2,0,0,0,56,37,76,76,30,483955,176869,269463,35309,2314,15,2,0,5091,4591,500,0,430,85,54,31,17,4,8740,5355,1347,1258,259,93,231,0,0,0,0,0,7,0,15,0,0,5,0,1,0,2,0,0,0,1,0,0,0,0,12,6,4,1,0,0,0,0,0,0,8,132,32957,0,0,0,0,18,46,6,1,1,9,4,3,10,Flareon
Wooper3,Wooper,Rival (Silph Co.),00:52:16.28,00:52:46.94,03:17:36.28,45,6,0,52,46,94,SURF,EARTHQUAKE,ICE BEAM,AMNESIA,73,72,56,56,46,0,0,6,6,0,0,0,82,81,224,224,46,713370,255105,394053,61898,2314,28,2,0,7536,6479,1057,0,722,117,83,34,19,4,19763,11215,3087,2255,365,121,305,0,0,0,0,0,8,0,26,0,0,10,0,2,0,2,0,0,0,2,0,0,0,0,22,10,5,1,0,0,0,0,0,0,16,213,92030,0,0,0,0,38,46,6,1,1,10,6,3,12,Flareon
Wooper3,Wooper,Giovanni (Silph),00:53:46.23,00:54:07.81,03:22:55.36,46,6,0,54,7,81,SURF,EARTHQUAKE,ICE BEAM,AMNESIA,75,73,57,57,47,0,-1,2,2,0,0,0,94,54,114,114,47,732518,263635,403549,63020,2314,30,2,0,7757,6700,1057,0,787,119,85,34,19,4,21302,11891,3161,2329,372,122,311,0,0,0,0,0,8,0,27,0,0,10,0,2,0,2,0,0,0,3,0,0,0,0,22,10,5,1,0,0,0,0,0,0,16,220,99429,0,0,0,0,38,46,6,1,1,10,6,3,12,Flareon
Wooper3,Wooper,Koga,00:58:48.99,00:59:23.49,03:36:41.31,48,10,0,59,23,49,SURF,EARTHQUAKE,ICE BEAM,AMNESIA,78,77,60,60,49,0,0,4,4,0,0,0,122,121,180,180,1,782083,280566,429982,68906,2630,35,4,0,8233,7176,1057,0,849,124,90,34,19,4,23513,13369,3523,2691,391,127,337,0,0,0,0,0,10,0,29,0,0,10,0,3,0,2,0,0,0,3,0,0,0,0,22,10,36,7,0,0,0,0,0,0,16,235,113542,0,0,0,0,38,54,6,1,1,10,6,3,16,Flareon
Wooper3,Wooper,Blaine,01:03:28.56,01:03:48.74,03:51:26.07,50,12,1,3,48,74,SURF,EARTHQUAKE,ICE BEAM,AMNESIA,82,80,64,64,53,-2,0,4,4,0,0,0,57,142,192,192,93,835164,303940,451418,77019,2788,36,5,0,8982,7824,1057,101,923,130,96,34,19,4,26392,14954,3623,2791,408,128,345,0,0,0,0,0,10,0,29,0,0,10,0,3,0,2,0,0,0,3,0,0,0,0,22,10,36,7,0,0,0,0,0,0,16,251,131428,0,0,0,0,44,54,6,1,1,10,6,3,18,Flareon
Wooper3,Wooper,Erika,01:04:48.22,01:05:03.78,03:56:22.27,51,12,1,5,3,78,SURF,EARTHQUAKE,ICE BEAM,AMNESIA,84,82,65,65,54,0,0,0,0,0,0,0,94,92,73,73,60,852944,311032,459774,79351,2788,38,5,0,9167,8009,1057,101,932,132,98,34,19,4,27273,15461,3623,2791,415,128,345,0,0,0,0,0,10,0,29,0,0,10,0,3,0,2,0,0,0,3,0,0,0,0,22,10,36,7,0,0,0,0,0,0,16,257,136610,0,0,0,0,44,54,6,1,1,10,6,3,18,Flareon
Wooper3,Wooper,Sabrina,01:06:11.24,01:06:29.53,04:02:00.13,52,12,1,6,29,53,SURF,EARTHQUAKE,ICE BEAM,AMNESIA,86,84,66,66,55,0,0,0,0,0,0,0,96,94,74,74,61,873210,321821,464716,83886,2788,39,5,0,9448,8290,1057,101,959,133,99,34,19,4,27740,15839,3665,2833,420,128,346,0,0,0,0,0,10,0,29,0,0,10,0,3,0,2,0,0,0,3,0,0,0,0,22,10,36,7,0,0,0,0,0,0,16,260,140935,0,0,0,0,45,54,6,1,1,11,6,3,18,Flareon
