ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Zapdos24,Zapdos,Rival (Lab),00:00:33.49,00:00:39.38,00:02:03.00,5,0,0,0,39,38,DRILL PECK,THUNDERSHOCK,,,15,15,19,19,16,0,0,0,0,0,0,0,15,15,19,19,16,9311,4724,2628,0,1959,0,0,0,71,71,0,0,5,2,1,1,0,0,28,21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,24,0,Jolteon
Zapdos24,Zapdos,Brock,00:03:08.44,00:03:40.04,00:13:56.37,11,0,0,3,40,4,DRILL PECK,THUNDERSHOCK,,,28,27,36,36,30,0,0,0,0,0,0,0,28,27,36,36,30,52128,24980,25189,0,1959,0,0,0,729,729,0,0,43,10,7,3,0,0,478,354,33,33,33,7,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,2,2,0,1,1,0,0,24,0,Flareon
Zapdos24,Zapdos,Misty,00:06:25.72,00:06:37.20,00:25:36.10,17,0,0,6,37,20,DRILL PECK,THUNDERSHOCK,,,42,40,53,53,45,0,0,0,0,0,0,0,47,40,53,53,45,94101,42059,49408,675,1959,0,0,0,1377,1377,0,0,58,18,15,3,0,0,1800,1047,101,101,63,9,18,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6316,0,0,0,0,3,2,0,1,1,0,0,24,0,Flareon
Zapdos24,Zapdos,Rival (Nugget Bridge),00:06:58.09,00:07:13.42,00:27:58.51,18,0,0,7,13,42,DRILL PECK,THUNDERSHOCK,,,44,42,57,57,48,0,-1,0,0,0,0,0,49,27,57,57,48,102662,46372,53656,675,1959,0,0,0,1481,1481,0,0,62,19,16,3,0,0,2024,1218,106,106,69,9,20,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7354,0,0,0,0,4,2,0,1,1,0,0,24,0,Flareon
Zapdos24,Zapdos,Oddish Lass,00:09:06.51,00:09:17.55,00:36:08.15,21,0,0,9,17,55,DRILL PECK,THUNDERSHOCK,,,51,49,66,66,56,0,0,0,0,0,0,0,57,49,66,66,56,132026,53283,76109,675,1959,0,0,0,1601,1601,0,0,83,29,26,3,0,0,3586,2034,115,115,92,9,23,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11454,0,0,0,0,5,2,0,1,1,0,0,24,0,Flareon
Zapdos24,Zapdos,Rocket,00:09:42.47,00:09:49.17,00:38:13.12,21,0,0,9,49,17,DRILL PECK,THUNDERSHOCK,,,51,49,66,66,56,0,0,0,0,0,0,0,57,49,66,66,56,139523,58715,78174,675,1959,0,0,0,1740,1740,0,0,89,30,27,3,0,0,3763,2137,115,115,94,9,23,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12143,0,0,0,0,6,2,0,1,1,0,0,24,0,Flareon
Zapdos24,Zapdos,Rival (SS Anne),00:11:40.55,00:11:53.55,00:46:22.49,24,0,0,11,53,55,DRILL PECK,THUNDERSHOCK,REST,,59,56,75,75,64,0,0,0,0,0,0,0,66,56,75,75,64,168900,70884,93551,2506,1959,0,0,0,2161,2161,0,0,125,36,33,3,0,0,5081,2848,125,125,110,9,25,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,17365,0,0,0,0,11,5,0,1,1,1,0,24,0,Flareon
Zapdos24,Zapdos,Lt. Surge,00:12:45.25,00:12:53.40,00:50:19.05,25,0,0,12,53,40,DRILL PECK,THUNDERSHOCK,REST,,61,58,78,78,66,0,0,0,0,0,0,0,68,58,78,78,66,183076,77501,95995,7621,1959,0,0,0,2338,2338,0,0,133,37,34,3,0,0,5178,2924,165,165,113,9,27,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,18097,0,0,0,0,11,5,0,1,1,3,0,24,0,Flareon
Zapdos24,Zapdos,RTG1 - Wrapping Lass,00:13:39.51,00:13:51.60,00:54:08.13,25,0,0,13,51,60,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,61,58,78,78,66,0,0,0,0,0,0,0,68,65,78,78,66,196824,85595,99449,9821,1959,0,0,0,2533,2479,54,0,153,38,35,3,0,0,5843,3114,165,165,117,9,27,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,19345,0,0,0,0,11,5,0,1,1,4,0,24,0,Flareon
Zapdos24,Zapdos,RTG4 - Status Jr Trainer,00:14:39.59,00:14:46.38,00:57:44.14,26,0,0,14,46,38,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,63,61,81,81,69,0,0,0,0,0,0,0,70,68,81,81,69,209785,89371,107746,10709,1959,0,0,0,2737,2479,258,0,174,42,39,3,0,0,6905,3602,165,165,126,9,28,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,22225,0,0,0,0,11,5,0,1,1,4,0,24,0,Flareon
Zapdos24,Zapdos,RTG6 - Finisher,00:15:36.89,00:15:47.51,01:01:46.07,27,0,0,15,47,51,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,66,63,84,84,71,0,0,0,0,0,0,0,74,70,84,84,71,224298,93652,116404,12283,1959,1,0,0,2903,2479,424,0,202,44,41,3,0,0,7366,3802,303,303,132,12,36,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,24465,0,0,0,0,11,5,0,1,1,4,0,24,0,Flareon
Zapdos24,Zapdos,Erika,00:18:23.74,00:18:37.07,01:12:53.57,29,0,0,18,37,7,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,74,68,91,91,76,0,0,0,0,0,0,0,83,76,91,91,76,264368,119131,127078,16200,1959,1,0,0,3633,3065,568,0,266,48,45,3,0,0,8583,4483,316,316,143,12,38,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,31166,0,0,0,0,15,22,5,1,1,5,0,24,0,Flareon
Zapdos24,Zapdos,Rival (Pokemon Tower),00:18:52.94,00:19:08.08,01:14:55.51,30,0,0,19,8,8,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,76,70,94,94,79,0,0,0,0,0,0,0,85,78,94,94,79,271682,121518,131169,17036,1959,1,0,0,3685,3117,568,0,269,49,46,3,0,0,9328,4769,316,316,148,12,38,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,33816,0,0,0,0,15,22,5,1,1,5,0,24,0,Flareon
