date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-22,16:15:16,NINTEN,Zapdos,Rival1-Lab,1,Pallet Town - Oak's Lab,1,1.06,1,0h0m1s,0,0,0,5,0:01,0.079,DRILL PECK,THUNDERSHOCK,,,0,71,2,1,1,1,1,0,0,3000,Jolteon, ,Electric,Flying,253,Zapdos34,Zapdos,Rival (Lab),00:00:01.01,00:00:01.06,00:01:51.29,5,0,0,0,1,6,DRILL PECK,THUNDERSHOCK,,,19,30,0,0,0,0,0,0,25,25,15,15,19,19,16,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,15,15,19,19,16,8668,4721,1940,0,2007,0,0,0,71,71,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,Jolteon
12-22,16:15:18,NINTEN,Zapdos,Bug Catcher,1,Viridian Forest,2,2.22,2,0h0m2s,0,0,0,6,0:06,0.117,DRILL PECK,THUNDERSHOCK,,,0,520,21,2,2,2,2,0,1,2775,Flareon, ,Electric,Flying,411,Zapdos34,Zapdos,,00:00:02.10,00:00:02.22,00:06:29.57,6,0,0,0,2,22,DRILL PECK,THUNDERSHOCK,,,18,30,0,0,0,0,0,0,28,28,17,17,21,21,18,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,17,17,21,21,18,25376,18398,4971,0,2007,0,0,0,520,520,0,0,21,4,2,2,0,0,48,45,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176,0,0,0,0,0,2,0,0,0,0,0,34,0,Flareon
12-22,16:15:18,NINTEN,Zapdos,Bug Catcher,3,Viridian Forest,1,2.93,2,0h0m2s,0,0,0,9,0:09,0.08,DRILL PECK,THUNDERSHOCK,,,0,613,23,5,3,9,9,0,2,2985,Flareon, ,Electric,Flying,985,Zapdos34,Zapdos,,00:00:02.85,00:00:02.93,00:09:24.48,9,0,0,0,2,93,DRILL PECK,THUNDERSHOCK,,,12,30,0,0,0,0,0,0,38,38,24,23,30,30,26,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,22,21,27,27,23,35867,20636,13224,0,2007,0,0,0,613,613,0,0,23,8,5,3,0,0,334,218,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:19,NINTEN,Zapdos,Jr Trainer M,1,Pewter City - Gym,2,3.36,3,0h0m3s,0,0,0,10,0:11,0.162,DRILL PECK,THUNDERSHOCK,,,0,731,24,6,3,13,13,2,2,3085,Flareon, ,Electric,Flying,1319,Zapdos34,Zapdos,,00:00:03.19,00:00:03.36,00:11:08.08,10,0,0,0,3,36,DRILL PECK,THUNDERSHOCK,,,16,30,0,0,0,0,0,0,33,41,26,25,33,33,28,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,24,23,30,30,26,42067,23994,16066,0,2007,0,0,0,731,731,0,0,24,9,6,3,0,0,402,269,8,8,13,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,985,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:19,NINTEN,Zapdos,Brock,1,Pewter City - Gym,2,3.98,3,0h0m3s,0,0,0,11,0:13,0.484,DRILL PECK,THUNDERSHOCK,,,0,735,24,7,3,32,29,12,0,3265,Flareon, ,Electric,Flying,1779,Zapdos34,Zapdos,Brock,00:00:03.49,00:00:03.98,00:13:39.28,11,0,0,0,3,98,DRILL PECK,THUNDERSHOCK,,,4,26,0,0,0,0,0,0,19,44,28,27,36,36,30,565,520,760,375,375,595,15,15,15,15,0,0,0,0,0,0,0,26,25,33,33,28,51147,24521,23900,719,2007,0,0,0,735,735,0,0,24,10,7,3,0,0,469,330,33,33,29,3,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1346,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:20,NINTEN,Zapdos,Bug Catcher,4,Route 3,3,4.45,4,0h0m4s,0,0,0,11,0:15,0.149,DRILL PECK,THUNDERSHOCK,,,0,846,25,8,3,35,32,12,1,4453,Flareon, ,Electric,Flying,2114,Zapdos34,Zapdos,,00:00:04.30,00:00:04.45,00:15:31.04,11,0,0,0,4,45,DRILL PECK,THUNDERSHOCK,,,17,30,0,0,0,0,0,0,44,44,28,27,36,36,30,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,31,27,36,36,30,57843,28162,26955,719,2007,0,0,0,846,846,0,0,25,11,8,3,0,0,597,389,33,33,32,3,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1846,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:20,NINTEN,Zapdos,Youngster,1,Route 3,2,4.68,4,0h0m4s,0,0,0,12,0:16,0.145,DRILL PECK,THUNDERSHOCK,,,0,850,27,9,3,37,34,13,1,4553,Flareon, ,Electric,Flying,2392,Zapdos34,Zapdos,,00:00:04.52,00:00:04.68,00:16:18.45,12,0,0,0,4,68,DRILL PECK,THUNDERSHOCK,,,15,29,0,0,0,0,0,0,44,47,30,29,39,39,33,760,731,939,500,500,862,15,15,15,15,0,0,0,0,0,0,0,33,29,39,39,33,60704,28449,29529,719,2007,0,0,0,850,850,0,0,27,12,9,3,0,0,723,475,36,36,34,3,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2091,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:20,NINTEN,Zapdos,Bug Catcher,5,Route 3,4,4.96,4,0h0m4s,0,0,0,13,0:17,0.201,DRILL PECK,THUNDERSHOCK,,,0,856,28,10,3,42,39,13,1,4718,Flareon, ,Electric,Flying,2867,Zapdos34,Zapdos,,00:00:04.76,00:00:04.96,00:17:22.14,13,0,0,0,4,96,DRILL PECK,THUNDERSHOCK,,,11,29,0,0,0,0,0,0,48,51,33,32,42,42,35,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,33,29,39,39,33,64513,28719,33068,719,2007,0,0,0,856,856,0,0,28,13,10,3,0,0,1101,590,36,36,39,3,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2573,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:20,NINTEN,Zapdos,Bug Catcher,6,Route 3,2,5.13,5,0h0m5s,0,0,0,13,0:18,0.085,DRILL PECK,THUNDERSHOCK,,,0,864,29,11,3,44,41,13,1,4808,Flareon, ,Electric,Flying,3160,Zapdos34,Zapdos,,00:00:05.02,00:00:05.13,00:18:09.50,13,0,0,0,5,13,DRILL PECK,THUNDERSHOCK,,,9,29,0,0,0,0,0,0,48,51,33,32,42,42,35,1035,891,1199,635,635,1097,15,15,15,15,0,0,0,0,0,0,0,37,32,42,42,35,67369,29471,35172,719,2007,0,0,0,864,864,0,0,29,14,11,3,0,0,1238,622,36,36,41,3,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2835,0,0,0,0,1,2,0,1,1,0,0,34,0,Flareon
12-22,16:15:21,NINTEN,Zapdos,Rocket,42,Mt Moon - 3,3,6.17,6,0h0m6s,0,0,0,15,0:22,0.235,DRILL PECK,THUNDERSHOCK,,,0,1232,38,13,3,52,49,16,3,5218,Flareon, ,Electric,Flying,4682,Zapdos34,Zapdos,,00:00:05.93,00:00:06.17,00:22:16.51,15,0,0,0,6,17,DRILL PECK,THUNDERSHOCK,,,2,27,0,0,0,0,0,0,48,57,37,36,48,48,40,1310,1236,1568,930,930,1437,15,15,15,15,-1,0,0,0,0,0,0,27,36,48,48,40,82190,37786,41678,719,2007,0,0,0,1232,1232,0,0,38,16,13,3,0,0,1627,856,38,38,49,3,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4184,0,0,0,0,2,2,0,1,1,0,0,34,0,Flareon
