ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Zapdos12,Zapdos,Rival (Lab),00:00:33.71,00:00:39.50,00:02:03.12,5,0,0,0,39,50,DRILL PECK,THUNDERSHOCK,,,15,15,19,19,16,0,0,0,0,0,0,0,15,15,19,19,16,9340,4757,2607,0,1976,0,0,0,73,73,0,0,1,2,1,1,0,0,35,21,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,12,0,Jolteon
Zapdos12,Zapdos,Brock,00:03:09.65,00:03:34.07,00:13:32.19,11,0,0,3,34,7,DRILL PECK,THUNDERSHOCK,,,28,27,36,36,30,0,-6,0,0,0,0,0,28,6,36,36,30,50687,25262,22626,823,1976,0,0,0,748,748,0,0,43,10,7,3,0,0,487,330,21,21,25,3,8,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,3,0,1,1,0,0,12,0,Flareon
Zapdos12,Zapdos,Misty,00:06:14.75,00:06:27.22,00:24:56.25,17,0,0,6,27,22,DRILL PECK,THUNDERSHOCK,,,42,40,53,53,45,0,0,0,0,0,0,0,47,40,53,53,45,91733,42347,46587,823,1976,0,0,0,1386,1386,0,0,66,18,15,3,0,0,1732,1023,50,50,55,5,14,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6316,0,0,0,0,2,3,0,1,1,0,0,12,0,Flareon
Zapdos12,Zapdos,Rival (Nugget Bridge),00:06:47.85,00:07:04.47,00:27:23.15,18,0,0,7,4,47,DRILL PECK,THUNDERSHOCK,,,44,42,57,57,48,0,-1,0,0,0,-1,0,49,27,57,57,48,100543,46600,51144,823,1976,0,0,0,1488,1488,0,0,70,19,16,3,0,0,1947,1194,55,55,61,6,17,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7354,0,0,0,0,3,3,0,1,1,0,0,12,0,Flareon
Zapdos12,Zapdos,Oddish Lass,00:08:54.47,00:09:05.11,00:35:18.49,21,0,0,9,5,11,DRILL PECK,THUNDERSHOCK,,,51,49,66,66,56,0,0,0,0,0,0,0,57,49,66,66,56,129077,53318,72960,823,1976,0,0,0,1608,1608,0,0,85,29,26,3,0,0,3365,2010,60,60,83,6,18,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11454,0,0,0,0,4,3,0,1,1,0,0,12,0,Flareon
Zapdos12,Zapdos,Rocket,00:09:30.24,00:09:37.07,00:37:25.04,21,0,0,9,37,7,DRILL PECK,THUNDERSHOCK,,,51,49,66,66,56,0,0,0,0,0,0,0,57,49,66,66,56,136652,58798,75055,823,1976,0,0,0,1748,1748,0,0,90,30,27,3,0,0,3565,2113,60,60,85,6,18,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12143,0,0,0,0,5,3,0,1,1,0,0,12,0,Flareon
Zapdos12,Zapdos,Rival (SS Anne),00:11:26.36,00:11:40.21,00:45:29.46,24,0,0,11,40,21,DRILL PECK,THUNDERSHOCK,REST,,59,56,75,75,64,-1,0,0,0,0,0,0,42,56,75,75,64,165734,70594,90657,2507,1976,0,0,0,2166,2166,0,0,128,36,33,3,0,0,4809,2824,70,70,102,6,21,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,17365,0,0,0,0,10,6,0,1,1,1,0,12,0,Flareon
Zapdos12,Zapdos,Lt. Surge,00:12:29.00,00:12:39.79,00:49:25.08,25,0,0,12,39,79,DRILL PECK,THUNDERSHOCK,REST,,61,58,78,78,66,0,0,0,0,0,0,0,68,58,78,78,66,179856,77081,93745,7054,1976,1,0,0,2343,2343,0,0,135,37,34,3,0,0,4899,2900,138,138,106,6,24,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,18097,0,0,0,0,10,6,0,1,1,3,0,12,0,Flareon
Zapdos12,Zapdos,RTG1 - Wrapping Lass,00:13:27.80,00:13:39.61,00:53:20.42,25,0,0,13,39,61,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,61,58,78,78,66,0,0,0,0,0,0,0,68,65,78,78,66,193990,85058,97137,9819,1976,1,0,0,2534,2480,54,0,152,38,35,3,0,0,5698,3090,138,138,110,6,24,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,19345,0,0,0,0,10,6,0,1,1,4,0,12,0,Flareon
Zapdos12,Zapdos,RTG4 - Status Jr Trainer,00:14:26.11,00:14:32.93,00:56:50.52,26,0,0,14,32,93,DRILL PECK,THUNDERSHOCK,REST,THUNDERBOLT,63,61,81,81,69,0,0,0,0,0,0,0,70,68,81,81,69,206600,88328,105626,10670,1976,1,0,0,2730,2480,250,0,172,42,39,3,0,0,7391,3578,138,138,119,6,25,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,22225,0,0,0,0,10,6,0,1,1,4,0,12,0,Flareon
